prompt,generated_text,predicted_token,accepted_predictions,correct_prediction,language
"Idiom:
Alderdommen er ikkje ungdommen","Idiom:
Alderdommen er ikkje ungdommen sin sin sin sin sin",sin,['lik'],False,nno
"Idiom:
Alle gode ting er","Idiom:
Alle gode ting er tre Tre Tre Tre Tre",tre,['tre'],True,nno
"Idiom:
Alle har bra døtrer, men ingen får bra","Idiom:
Alle har bra døtrer, men ingen får bra sønner.
Alle har","sønner.
Alle",['sonekone'],False,nno
"Idiom:
Alle manns venn er alle manns","Idiom:
Alle manns venn er alle manns fi fi fi fi fi",fi,['narr'],False,nno
"Idiom:
Alle sko kan ikkje lagast over ein","Idiom:
Alle sko kan ikkje lagast over ein kam. Det må må",kam,['lest'],False,nno
"Idiom:
Alle svin er svarte i","Idiom:
Alle svin er svarte i Danmark Alle svin er",Danmark,['mørkret'],False,nno
"Idiom:
Alle vegar fører til","Idiom:
Alle vegar fører til Rom Alle vegar fører til",Rom,['Rom'],True,nno
"Idiom:
Alle vil ape og ingen vil","Idiom:
Alle vil ape og ingen vil bli til til til til",bli,['skape'],False,nno
"Idiom:
Alle vil leve lenge, men ingen vil bli","Idiom:
Alle vil leve lenge, men ingen vil bli gamle.
Alle vil leve","gamle.
Alle",['gammal'],False,nno
"Idiom:
Alt lyt ha si","Idiom:
Alt lyt ha si tid
Alt lyt","tid
Alt",['tid'],False,nno
"Idiom:
Alt stygt trivst i","Idiom:
Alt stygt trivst i skog.",skog,['mørkret'],False,nno
"Idiom:
Altfor kvast er og til","Idiom:
Altfor kvast er og til å å å å å",å,['last'],False,nno
"Idiom:
Altfor romhendt står att","Idiom:
Altfor romhendt står attende attende attende",ende,['tomhendt'],False,nno
"Idiom:
Andre tider gjev andre","Idiom:
Andre tider gjev andre ord Andre tider gjev andre",ord,['tankar'],False,nno
"Idiom:
Annan manns lyte er lett å","Idiom:
Annan manns lyte er lett å sjå å sjå å sjå",sjå,['sjå'],True,nno
"Idiom:
Annan manns vilje er vond å","Idiom:
Annan manns vilje er vond å sjå, og verre å",sjå,['vite'],False,nno
