category,prompt,generated_text,predicted_token,target_token,correct_prediction
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #hel# er for #,#munter# er for #muntert# som #hel# er for #helhjertet#,helhjertet,helt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #effektiv# er for #,#munter# er for #muntert# som #effektiv# er for #effektiv## og #,effektiv,effektivt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #heldig# er for #,#munter# er for #muntert# som #heldig# er for #heldig# som er,heldig,heldigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #fri# er for #,"#munter# er for #muntert# som #fri# er for #frilgt.
#mun","frilgt.
#mun",fritt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #umiddelbar# er for #,"#munter# er for #muntert# som #umiddelbar# er for #umiddelbart#,",umiddelbart,umiddelbart,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #sjelden# er for #,#munter# er for #muntert# som #sjelden# er for #morsomt#. Dette,morsomt,sjeldent,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #åpenbar# er for #,#munter# er for #muntert# som #åpenbar# er for #åpenbar# som,åpenbar,åpenbart,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #mulig# er for #,#munter# er for #muntert# som #mulig# er for #muligt. #mun,muligt,muligens,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #presis# er for #,#munter# er for #muntert# som #presis# er for #presis#.,presis,presist,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #profesjonell# er for #,#munter# er for #muntert# som #profesjonell# er for #profesjonell. For #,profesjonell,profesjonelt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #rask# er for #,"#munter# er for #muntert# som #rask# er for #rask#
Begge disse","rask#
Begge",raskt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #trygg# er for #,#munter# er for #muntert# som #trygg# er for #trygg# som #,trygg,trygt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #langsom# er for #,#munter# er for #muntert# som #langsom# er for #langsomt# - det,langsomt,langsomt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #kjapp# er for #,#munter# er for #muntert# som #kjapp# er for #kjappt. I løpet,kjappt,kjapt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #uheldig# er for #,#munter# er for #muntert# som #uheldig# er for #ufullständigt#,ufullständigt,uheldigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #vanlig# er for #,#munter# er for #muntert# som #vanlig# er for #vanlig# et #sp,vanlig,vanligvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #nødvendig# er for #,#munter# er for #muntert# som #nødvendig# er for #nødvendig# som,nødvendig,nødvendigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #aktiv# er for #,#munter# er for #muntert# som #aktiv# er for #aktive# og #ut,aktive,aktivt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #bitter# er for #,#munter# er for #muntert# som #bitter# er for #bittert#.,bittert,bittert,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #fin# er for #,#munter# er for #muntert# som #fin# er for #fint.,fint,fint,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #tilfeldig# er for #,#munter# er for #muntert# som #tilfeldig# er for #tilfeldig# som,tilfeldig,tilfeldigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #normal# er for #,#munter# er for #muntert# som #normal# er for #normalt#. ,normalt,normalt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #sikker# er for #,#munter# er for #muntert# som #sikker# er for #sikkert#. Mun,sikkert,sikkert,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #spesiell# er for #,#munter# er for #muntert# som #spesiell# er for #spesielle/# på #,spesielle,spesielt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #vakker# er for #,#munter# er for #muntert# som #vakker# er for #vakkert# og,vakkert,vakkert,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #unormal# er for #,#munter# er for #muntert# som #unormal# er for #unormale#.,unormale,unormalt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #kriminell# er for #,#munter# er for #muntert# som #kriminell# er for #kriminal# som #,kriminal,kriminelt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #grov# er for #,#munter# er for #muntert# som #grov# er for #groft# – når,groft,grovt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #fæl# er for #,#munter# er for #muntert# som #fæl# er for #fælt#. En,fælt,fælt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #sannsynlig# er for #,#munter# er for #muntert# som #sannsynlig# er for #sannsynlig# en,sannsynlig,sannsynligvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #naturlig# er for #,#munter# er for #muntert# som #naturlig# er for #naturlig# -,naturlig,naturligvis,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #effektiv# er for #,#hel# er for #helt# som #effektiv# er for #hel#. Et samarbeid,hel,effektivt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #heldig# er for #,#hel# er for #helt# som #heldig# er for #heldigere# som,heldigere,heldigvis,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #fri# er for #,#hel# er for #helt# som #fri# er for #hva# er #,hva,fritt,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #umiddelbar# er for #,#hel# er for #helt# som #umiddelbar# er for #umiddelbart# etter,umiddelbart,umiddelbart,True
gram1-adjektiv-til-adverb,#hel# er for #helt# som #sjelden# er for #,#hel# er for #helt# som #sjelden# er for #helt# og #,helt,sjeldent,False
gram1-adjektiv-til-adverb,#hel# er for #helt# som #åpenbar# er for #,#hel# er for #helt# som #åpenbar# er for #den# som# leter,den,åpenbart,False
