prompt,generated_text,predicted_token,accepted_predictions,correct_prediction,language
"Idiom:
Alderdommen er ikkje ungdommen","Idiom:
Alderdommen er ikkje ungdommen sin feil.",sin,['lik'],False,nno
"Idiom:
Alle gode ting er","Idiom:
Alle gode ting er tre.",tre,['tre'],True,nno
"Idiom:
Alle har bra døtrer, men ingen får bra","Idiom:
Alle har bra døtrer, men ingen får bra sønner",sønner,['sonekone'],False,nno
"Idiom:
Alle manns venn er alle manns","Idiom:
Alle manns venn er alle manns eie, og alle manns",eie,['narr'],False,nno
"Idiom:
Alle sko kan ikkje lagast over ein","Idiom:
Alle sko kan ikkje lagast over ein lest!",lest,['lest'],True,nno
"Idiom:
Alle svin er svarte i","Idiom:
Alle svin er svarte i Spania.",Spania,['mørkret'],False,nno
"Idiom:
Alle vegar fører til","Idiom:
Alle vegar fører til Rom, men ikkje alle",Rom,['Rom'],True,nno
"Idiom:
Alle vil ape og ingen vil","Idiom:
Alle vil ape og ingen vil bli apekatt",bli,['skape'],False,nno
"Idiom:
Alle vil leve lenge, men ingen vil bli","Idiom:
Alle vil leve lenge, men ingen vil bli gamle.",gamle,['gammal'],False,nno
"Idiom:
Alt lyt ha si","Idiom:
Alt lyt ha si tid: Det er ikkje",tid,['tid'],True,nno
"Idiom:
Alt stygt trivst i","Idiom:
Alt stygt trivst i mørkret.",mørkret,['mørkret'],True,nno
"Idiom:
Altfor kvast er og til","Idiom:
Altfor kvast er og til å vera sant",å,['last'],False,nno
"Idiom:
Altfor romhendt står att","Idiom:
Altfor romhendt står attmed ein vegg og ser",med,['tomhendt'],False,nno
"Idiom:
Andre tider gjev andre","Idiom:
Andre tider gjev andre meiningar:",meiningar,['tankar'],False,nno
"Idiom:
Annan manns lyte er lett å","Idiom:
Annan manns lyte er lett å kjenne att, men det",kjenne,['sjå'],False,nno
"Idiom:
Annan manns vilje er vond å","Idiom:
Annan manns vilje er vond å vende",vende,['vite'],False,nno
"Idiom:
Auget ser aldri seg","Idiom:
Auget ser aldri seg sjølv",sjølv,['sjølv'],True,nno
"Idiom:
Av skade vert ein klok, men ikkje","Idiom:
Av skade vert ein klok, men ikkje rik.",rik,['rik'],True,nno
"Idiom:
Bak skya er himmelen alltid","Idiom:
Bak skya er himmelen alltid blå.",blå,['blå'],True,nno
"Idiom:
Barn gjer barns","Idiom:
Barn gjer barnslege ting når dei er",lege,['verk'],False,nno
"Idiom:
Barn lærer snarare å tale enn å","Idiom:
Barn lærer snarare å tale enn å skrive.",skrive,['teie'],False,nno
"Idiom:
Barnet er far til","Idiom:
Barnet er far til mannen.
Idiom:
","mannen.
Idiom",['mannen'],False,nno
"Idiom:
Barnet har berre gråten å ta","Idiom:
Barnet har berre gråten å ta til når det er i",til,['til'],True,nno
"Idiom:
Beste fruktene heng","Idiom:
Beste fruktene hengende på treet er",ende,['høgast'],False,nno
"Idiom:
Betre med ein fugl i handa en med ti på","Idiom:
Betre med ein fugl i handa en med ti på taket, sa mannen,",taket,['taket'],True,nno
"Idiom:
Betre med eit ærleg nei enn med eit falskt","Idiom:
Betre med eit ærleg nei enn med eit falskt ja.",ja,['ja'],True,nno
"Idiom:
Betre seint enn","Idiom:
Betre seint enn aldri.",aldri,['aldri'],True,nno
"Idiom:
Betre ulært enn ille","Idiom:
Betre ulært enn ille lært.",lært,['lært'],True,nno
"Idiom:
Blind høne finn og eit","Idiom:
Blind høne finn og eit korn",korn,['korn'],True,nno
"Idiom:
Blod er aldri så tunt at det er tjukkare enn","Idiom:
Blod er aldri så tunt at det er tjukkare enn vatn.",vatn,['vatn'],True,nno
"Idiom:
Brent barn skyr","Idiom:
Brent barn skyr ilden, eller brent",ilden,['elden'],False,nno
"Idiom:
Bønder trivst mellom bønder","Idiom:
Bønder trivst mellom bønder og byfolk.",og,['best'],False,nno
"Idiom:
Dei gamle skal ein ære, dei unge skal ein","Idiom:
Dei gamle skal ein ære, dei unge skal ein læra.
Idiom","læra.
Idiom",['lære'],False,nno
"Idiom:
Dei vil alle følgje den store","Idiom:
Dei vil alle følgje den store vegen.",vegen,['straumen'],False,nno
"Idiom:
Dei vise kan og fare","Idiom:
Dei vise kan og fare vill.",vill,['vill'],True,nno
"Idiom:
Den eine løgna dreg den andre etter","Idiom:
Den eine løgna dreg den andre etter seg.
You can never","seg.
You",['seg'],False,nno
"Idiom:
Den eine ramnen vil den andre skal vere like","Idiom:
Den eine ramnen vil den andre skal vere like klok som han sjølv er.",klok,['svart'],False,nno
"Idiom:
Den eine sin død er den andre sitt","Idiom:
Den eine sin død er den andre sitt brød.
: Den eine","brød.
",['brød'],False,nno
"Idiom:
Den eine ulukka dreg den andre etter","Idiom:
Den eine ulukka dreg den andre etter seg.",seg,['seg'],True,nno
"Idiom:
Den einøygde kallen er konge blant dei","Idiom:
Den einøygde kallen er konge blant dei underjordiske.",underjordiske,['blinde'],False,nno
"Idiom:
Den er mykje verd som vert","Idiom:
Den er mykje verd som vert brukt.",brukt,['baktala'],False,nno
"Idiom:
Den er sjølv vond, som trur at alle er","Idiom:
Den er sjølv vond, som trur at alle er gode.
: Den er","gode.
",['vonde'],False,nno
"Idiom:
Den gryta som kokar før seks, kokar også før","Idiom:
Den gryta som kokar før seks, kokar også før sju og sju og åtte",sju,['sju'],True,nno
"Idiom:
Den handa som er for rom, vil snart vere","Idiom:
Den handa som er for rom, vil snart vere for liten.
den hand",for,['tom'],False,nno
"Idiom:
Den skal tidleg krøkjast som god krok skal","Idiom:
Den skal tidleg krøkjast som god krok skal bli.",bli,['bli'],True,nno
"Idiom:
Den som byrjar for hardt, sluttar for","Idiom:
Den som byrjar for hardt, sluttar for tidleg.",tidleg,['snart'],False,nno
"Idiom:
Den som er utru i smått, er og utru i","Idiom:
Den som er utru i smått, er og utru i stort.",stort,['stort'],True,nno
"Idiom:
Den som gjer mest, får minste","Idiom:
Den som gjer mest, får minste betalinga.
Quote","betalinga.
Quote",['takka'],False,nno
