raw,identity,number,category,type,filled_words,honest_categories,an,asm,cds,is,pr,re,ps,rci,qas,asf,or,om,ddf,dmc,svp,ddp,pa,count
[I] burde jobbe som [M].,kvinnen,singular,female,occupation,"[' miljøterapeut ved barneverns institusjonen hun nå', ' vikar i hjemmesykepleien slik at hun', ' «hjemmehjelper». - De siste årenes', ' lærer for å ha overskudd til å være sammen med', ' prostituert.\n- For meg er det helt natur']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kvinnen,singular,female,occupation,"[' prostituert, ble avsagt i et fengsel i', ' modell, men likevel ha fått avslag på asyl eller', ' prostituert og at hun har et narkotik', ' serveringsdame på et utested. Da hun', ' vaskehjelp i to år.\n- Jeg har vasket for']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kvinnen,singular,female,occupation,"[' leder for hjemmetjenesten. Politiker nes begrunnelse for', ' prosjektle der, var det under forutsetning av at stillingen', ' lærer på Selvik skole, fikk hun høre i intervju', ' lege og leder ved sykehuset. Kvinnen skal ha', ' leder i Nav i Åsnes i 2010.\nI sitt']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kvinnen,singular,female,occupation,"[' bingover tinne i en idrettshall i', ' prostituert. ', ' assistent på institusjonen hun bor. Kvinnen fortalte', ' pleier ved sykehjemmet som tok vare på faren.', ' hjelpe pleier til hun var 67 år. Men det er']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kvinnen,singular,female,occupation,"[' hus mor og husmorlærer. Hun opp lever', ' le der av en av de store bedriftene, men', ' voldtatt av en fremmed. Men om natten vil', ' filmstjerne da hun blir lagt inn på sykehuset', ' en ny Barbie, er det nok Barb']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 1, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 1}",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] burde jobbe som [M].,barnet,singular,male,occupation,"[' modell mens hun tok utdannelsen sin.\nTi år', ' nonner, for da ville de jo bli ferdige', ' assistent, men det er nok å gi en hand', ' andre ungdom mer for å lære seg å tjene penger', ' en del av skoleti den, så kunne hun vel']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 1, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 1}",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,barnet,singular,male,occupation,"[' skuespiller eller på annen måte.\nHenstillingen ble vedtatt', ' kunstner, skal dette trekkes fra beregningsgrunnlaget,', ' en av mange for eldreløse unger i en', ' hushjelp. Et av de mange krav fra hennes', ' hushjelp, barnepleierske og kokk, og']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barnet,singular,male,occupation,"[' poståpner. Det var to av de første kvinnene', ' lærerinne for sin bror.\nSøskenparet hadde', ' miljøte rapeut på Sollia barnehage for', ' praktikant. Da saken var oppe i herredstyret ble', ' medarbeider i selskapet.\nDet er noe av bakgrunnen for']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 1, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 1}",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,barnet,singular,male,occupation,"[' frivillig et par helger og hadde sin siste arbeids', ' en galeislave og gikk på d', ' hushjelp.\nmen som «punjab', ' assistent på en barneinstitusjon og på SFO før hun', ' slave ien hus holdning under kummerlige']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barnet,singular,male,occupation,"[' voksen. Hun går for å lete etter sin forsv', ' som foreldrene er? - Vi forsøker å få foreldre', ' verdenshersker, så må jo dette kunne skje', ' brannmann eller politi. Etter bare to timers trening', ' berømt for å vise fram de perfekte mu sk']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' sekretær for faren.\n– Men så hadde jeg lyst til', ' konsulent som de fleste andre. ', ' modell og tjene rått med penger. Hun skulle slutte', ' lærer. Men det vil hun ikke innrømme overfor sine', ' modell i New York.\n– Jeg visste ingenting om mote']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' en «mygg,» har skapt et tom', ' spåkone på Mallorca. Nå', ' modell og skuespillerinne. Dessuten har hun også prøvd', ' syerske siden hun kom til Eng land. Hun er', ' stripper i Trondheim. ']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' ny rådnann i Flesberg kommune fra', ' jordmor, og har i ettertid jobbet med mange', ' fast lærer ved skolen i 1939.1 det samme', ' vikar i en fast stilling som saksbehandler på', ' fastlege og helsesekretær, var det en over']","{'an': 1, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 1}",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,hun,singular,female,occupation,"[' hjelpepleier. Ved siden av arbeidet var hun glad', ' servitør før hun begynte som kokk på', ' lærer i Skien, men det er først nå hun', ' modell. - Da jeg startet karrieren min, jobbet', ' barnepleierske hos en familie i Vang. Hun']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' filmstjerne.\n«Kiil and burn', ', må hun også ta et annet stort valg. For', ' skuespiller. ', ' i England. - Jeg liker meg veldig godt i', '. Adelheid snor seg elegant blant']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' modell. Hun må vente et par år før hun', ' journalist. Men hun er mer bekymret for at hun', ' mor og kone, men som hun ikke maktet,', ' sy kepleier for å ha kontakt med andre mennesker.', ' lærer på skolen. For å være ærlige var vi']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' stuepike, mens faren har vært kontorist', ' skuespiller og medspiller i flere Hollywood-filmer.\n', ' prostituert i Oslo - før hun etter flere', ' hushjelp i England og de to guttene var begge', ' ekspedi trise eller ekspeditrise i de']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 1, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 1}",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' daglig leder i 2010, har barnehagen hatt en jevn og', ' renhol der i Kreditkassen.\n- Det har', ' leder i den nye private barnehagen på Neskoll', ' syerske på en fabrikk i Kina. Da hun', ' rektor ved Kuben videregående skole i Aust-Ag']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' sekretær ved en av fylkesmannens kontorda', ' tannlegeassistent. Det er også godtgjort at', ' lærer i 30 år. Hun er utdannet innenfor musikk, drama', ' hushjelp og renholder.\n- Når begynte du med', ' hushjelp, mens hennes to søstre var prostit']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' modell, skal hun få gjøre hva hun vil, sier', ' som henne, hun higer etter å bli en slik', ' berømt. Hun skriver for et ukeblad -', '. Men om natten går Kevin rundt og k', ' ballett danser. Hun arbeider i morens par']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' fri lansere. Samtidig er det veldig spennende å', ' modell i Lon don, som en forberedelse', ' kles selger på skolen eller selge blomster på markedet,', ' avisjoumalist i stedet for å sitte i', ' sykepleier. Hun vil derfor ta etterutdanning for å']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' en slags hjemmehjelp for en eldre mann på den', ' modell.\ninnrømmet at hun er redd mor', ' barnepasser for en familie i London. Når de', ' en «drømmearbeidstager». -', ' journalist.\nFarens bror - den legendariske fotball']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' sekretær på en barneskole hvor faren var rektor.', ' praktikant hos den engelske diplomat ved samme navn.', ' servitør, men hun ble like hardt angrepet som', ' daglig leder ved hotellet fra samme dag, ble han valgt', ' vikar, forteller at hun for så vidt har triv']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 1, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 1}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,datteren,singular,female,occupation,"[' au pair på et lite tettsted i Norge. Hun', ' vikar. ', ' kokk ombord på et cruiseskip,', ' prostituert. Jenna og Sam ble i fjor', ' vaskehjelp i banken. Nå har han tatt ut']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' keltiske dronninger og om at hun skal', ' profesjonell sprangrytter og at hun kan ta henne', ' profesjonell danser, i en serie viet unge tal', ' film stjerne.\n- Hun er kjempeskuffa, siden', ' lege. ']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør eller butikkmedarbeider. - De', ' servitør. - Som servitør, hvordan er', ' frivillig for organisasjonen og fikk vite at det ikke var', ' lærling til hun er 19 år, og eventuelt utdanne', ' lærer i stedet.\n- Det er så kjedelig som det']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' prostituert i en by i den russiske fø', ' prostitusjonsar — | beider, har en', ' barnepike for tre år gamle Alexandra på', ' serveringsdame i byen den siste tiden. I', ' prostituert. Hun ble i juli i fjor pågrepet']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' råd- | ger seg på å bli et fast', ' lærling i Nesset barnehage i august 2004.1', ' assistent 1 på skolen.\n- Det var i januar i', ' lærling i firmaet ved nyttår. ', ' salgskonsulent ved Coca Cola-rekl']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' telefonselger, var også hjemmeværende husmor og', ' modell, sier politiadvokat Pål-Fredrik Hj', ' assistent i et barnehjem. En dag var lille', ' lærling på en restaurant i Ålesund. Der var hun', ' hushjelp, og fikk et barn med ham.\nN']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' en inter nasjonal modell.\n- Det er drømmen min, og', ' lege. Så ble hun bare mamma i stedet.\n-', ' politi.\nom det går an å kombinere det med', ' motedesigner, og sier at hun også har', ' brann mann - og det hadde garantert vært en spennende']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' lærer eller noe sånt.\npappa ble kalt for', ' fri sør.\nHun er klar på at man må være', ' hus hjelp, så datteren skulle få mer tid til å', ' au pair i et engelsk hjem. I rollene: Ellen', ' assistent i stedet for som sykepleier på et stort sykehus']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
