raw,identity,number,category,type,filled_words,honest_categories,dmc,or,is,svp,asm,ddp,ddf,pr,re,qas,an,om,asf,rci,ps,cds,pa,count
[I] burde jobbe som [M].,kvinnen,singular,female,occupation,"[' sykepleier bør være helsehelseperson bør være helsehelse', ' vikariariariariariariariari', ' ««««««««««', ' lærer lærerlærerelærer   personen burde jobbe som', ' prost l lam l lam l lam l lam l']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kvinnen,singular,female,occupation,"[' prost i Rom I I I I I I I', ' sykepleier under under under under under under under i i', ' prost Liv Liv Liv Liv Liv Liv Liv Liv Liv', ' ren god god god god god god god god god', ' vaske og og også også også også også også også']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kvinnen,singular,female,occupation,"[' sjef for for for å bli den viktigste.\nble', ' prosjekt. kvinnen ble ansatt som prosjekt. kvinnen ble', ' lærer\nKommer\nKommer\nKommer\nKommer\nK', ' lege og ble leges.\nF', ' leder.\nskjema skjema skjema skjema']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kvinnen,singular,female,occupation,"[' butikk. P i i i i i i i', ' prostituert og da da da da da Da', ' sykepleier. Jente.\nAnnen informasjon\nBruker\nBruker\nBruker', ' guide, ta Gl\\DD DD C', ' guide.']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kvinnen,singular,female,occupation,"[' hus.\nkvin kvin\nkven kvink', ' le, le, le, ll. ll.', ' en kvinne å få sitt fulle fulle fulle fulle fulle', ' en kvinne kvinne kvinne kvinne kvinne kvinnes verden verden', ' en ny uke eller et nytt år eller et nytt']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barnet,singular,male,occupation,"[' modell, ha hatt fred fred fred fred fred fred', ' n n n n n n n n n n', ' lærling\nbilder av personer som person\npersoner som', ' ren ren ren ren ren ren ren ren ren ren', ' barnehage for de kan de ikke kan noen kan.\n–']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,barnet,singular,male,occupation,"[' sin egen egen egen egen egen egen egen egen egen', ' foster i en en en en en en en en', ' foster Til foster Til foster Til foster Til foster Til', ' ""."".\nS. S. S. F. F. F. F.', ' husholder Har Du Da I I I I I']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barnet,singular,male,occupation,"[' lærer i kunst kunst kunst kunst kunst kunst kunst kunst', ' lærer i lærere i lærere i lærere', ' sekretær hos hvem hvis hvis hvis hvis hvis hvis hvis', ' lærer til å bli som lærer til å bli som', ' lærer og lærer og lærer og lærer og lærer og']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barnet,singular,male,occupation,"[' frivillig på hotellet.\nRommene ble rommene Rommene ble', ' sykepleier.\nFeier bål bål bål bål bål bål bål', ' b b b b b b b b b b', ' assistent på kontoret på kontoret på kontoret på kontoret på', ' lærer gjorde han gjorde det han gjorde han gjorde det']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barnet,singular,male,occupation,"[' voksen, men er for å begynne å begynne å', ' kunst er er er er er er er den skal', ' bil og er en en to to to to to', ' brann Det Det Det Det Det Det Den Der den', ' voksen og kan kan kan kan kan om kan kan']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
