prompt,generated_text,predicted_token,accepted_predictions,correct_prediction,language
"Idiom:
Alderdommen er ikkje ungdommen","Idiom:
Alderdommen er ikkje ungdommen - den er ikkje mann",,['lik'],False,nno
"Idiom:
Alle gode ting er","Idiom:
Alle gode ting er tre. Det er mange",tre,['tre'],True,nno
"Idiom:
Alle har bra døtrer, men ingen får bra","Idiom:
Alle har bra døtrer, men ingen får bra ektemenn, er det",ektemenn,['sonekone'],False,nno
"Idiom:
Alle manns venn er alle manns","Idiom:
Alle manns venn er alle manns narr; man bør",narr,['narr'],True,nno
"Idiom:
Alle sko kan ikkje lagast over ein","Idiom:
Alle sko kan ikkje lagast over ein lest som passar for ein",lest,['lest'],True,nno
"Idiom:
Alle svin er svarte i","Idiom:
Alle svin er svarte i Kina.
sviner til","Kina.
sviner",['mørkret'],False,nno
"Idiom:
Alle vegar fører til","Idiom:
Alle vegar fører til Rom! Det same gjer",Rom,['Rom'],True,nno
"Idiom:
Alle vil ape og ingen vil","Idiom:
Alle vil ape og ingen vil bli ape. Og vi",bli,['skape'],False,nno
"Idiom:
Alle vil leve lenge, men ingen vil bli","Idiom:
Alle vil leve lenge, men ingen vil bli gammel!
En gang trodde","gammel!
En",['gammal'],False,nno
"Idiom:
Alt lyt ha si","Idiom:
Alt lyt ha si tid — tid til å",tid,['tid'],True,nno
"Idiom:
Alt stygt trivst i","Idiom:
Alt stygt trivst i dei store byar. Men",dei,['mørkret'],False,nno
"Idiom:
Altfor kvast er og til","Idiom:
Altfor kvast er og tilvisande / altfor",visande,['last'],False,nno
"Idiom:
Altfor romhendt står att","Idiom:
Altfor romhendt står att: i motsetning til dette",,['tomhendt'],False,nno
"Idiom:
Andre tider gjev andre","Idiom:
Andre tider gjev andre svar:",svar,['tankar'],False,nno
"Idiom:
Annan manns lyte er lett å","Idiom:
Annan manns lyte er lett å rette på, hatet kan",rette,['sjå'],False,nno
"Idiom:
Annan manns vilje er vond å","Idiom:
Annan manns vilje er vond å vende.
Insensible","vende.
Insensible",['vite'],False,nno
"Idiom:
Auget ser aldri seg","Idiom:
Auget ser aldri seg sjølv. Auget treng",sjølv,['sjølv'],True,nno
"Idiom:
Av skade vert ein klok, men ikkje","Idiom:
Av skade vert ein klok, men ikkje rik.
Forlovelsen varer","rik.
Forlovelsen",['rik'],False,nno
"Idiom:
Bak skya er himmelen alltid","Idiom:
Bak skya er himmelen alltid blå. Bak skyene",blå,['blå'],True,nno
"Idiom:
Barn gjer barns","Idiom:
Barn gjer barnsleg ting av lyst eller",leg,['verk'],False,nno
"Idiom:
Barn lærer snarare å tale enn å","Idiom:
Barn lærer snarare å tale enn å lese, snarare å",lese,['teie'],False,nno
"Idiom:
Barnet er far til","Idiom:
Barnet er far til mannen, mor til datter",mannen,['mannen'],True,nno
"Idiom:
Barnet har berre gråten å ta","Idiom:
Barnet har berre gråten å ta til når noe vondt og",til,['til'],True,nno
"Idiom:
Beste fruktene heng","Idiom:
Beste fruktene heng høgt!
Typisk","høgt!
Typisk",['høgast'],False,nno
"Idiom:
Betre med ein fugl i handa en med ti på","Idiom:
Betre med ein fugl i handa en med ti på taket...",taket,['taket'],True,nno
"Idiom:
Betre med eit ærleg nei enn med eit falskt","Idiom:
Betre med eit ærleg nei enn med eit falskt ja. Di har betre rett",ja,['ja'],True,nno
"Idiom:
Betre seint enn","Idiom:
Betre seint enn aldri, heiter det,",aldri,['aldri'],True,nno
"Idiom:
Betre ulært enn ille","Idiom:
Betre ulært enn ille lært.
Heller en ul","lært.
Heller",['lært'],False,nno
"Idiom:
Blind høne finn og eit","Idiom:
Blind høne finn og eit kom * Blind hø",kom,['korn'],False,nno
"Idiom:
Blod er aldri så tunt at det er tjukkare enn","Idiom:
Blod er aldri så tunt at det er tjukkare enn vatn. Tunnare",vatn,['vatn'],True,nno
"Idiom:
Brent barn skyr","Idiom:
Brent barn skyr som regel ilden, og",som,['elden'],False,nno
"Idiom:
Bønder trivst mellom bønder","Idiom:
Bønder trivst mellom bønder; dei er så få",,['best'],False,nno
"Idiom:
Dei gamle skal ein ære, dei unge skal ein","Idiom:
Dei gamle skal ein ære, dei unge skal ein lokke.
Ideal","lokke.
Ideal",['lære'],False,nno
"Idiom:
Dei vil alle følgje den store","Idiom:
Dei vil alle følgje den store vegen. Igjen går",vegen,['straumen'],False,nno
"Idiom:
Dei vise kan og fare","Idiom:
Dei vise kan og fare vill. Det skjedde i",vill,['vill'],True,nno
"Idiom:
Den eine løgna dreg den andre etter","Idiom:
Den eine løgna dreg den andre etter seg.",seg,['seg'],True,nno
"Idiom:
Den eine ramnen vil den andre skal vere like","Idiom:
Den eine ramnen vil den andre skal vere like stor.
Den eine handa","stor.
Den",['svart'],False,nno
"Idiom:
Den eine sin død er den andre sitt","Idiom:
Den eine sin død er den andre sitt brød - det er gam",brød,['brød'],True,nno
"Idiom:
Den eine ulukka dreg den andre etter","Idiom:
Den eine ulukka dreg den andre etter seg. I ein slik situasjon",seg,['seg'],True,nno
"Idiom:
Den einøygde kallen er konge blant dei","Idiom:
Den einøygde kallen er konge blant dei gamle. Han var fød",gamle,['blinde'],False,nno
"Idiom:
Den er mykje verd som vert","Idiom:
Den er mykje verd som vert mykje brukt, og som",mykje,['baktala'],False,nno
"Idiom:
Den er sjølv vond, som trur at alle er","Idiom:
Den er sjølv vond, som trur at alle er like vonde. Den er",like,['vonde'],False,nno
"Idiom:
Den gryta som kokar før seks, kokar også før","Idiom:
Den gryta som kokar før seks, kokar også før sju.
Predikament","sju.
Predikament",['sju'],False,nno
"Idiom:
Den handa som er for rom, vil snart vere","Idiom:
Den handa som er for rom, vil snart vere for liten til å kunne",for,['tom'],False,nno
"Idiom:
Den skal tidleg krøkjast som god krok skal","Idiom:
Den skal tidleg krøkjast som god krok skal bli:
krøkj","bli:
krøkj",['bli'],False,nno
"Idiom:
Den som byrjar for hardt, sluttar for","Idiom:
Den som byrjar for hardt, sluttar for tidleg.
Kvaliteten på","tidleg.
Kvaliteten",['snart'],False,nno
"Idiom:
Den som er utru i smått, er og utru i","Idiom:
Den som er utru i smått, er og utru i stort, og den som er",stort,['stort'],True,nno
"Idiom:
Den som gjer mest, får minste","Idiom:
Den som gjer mest, får minste straff, er ein reg",straff,['takka'],False,nno
"Idiom:
Den som gjer narr av andre, er sjølv største","Idiom:
Den som gjer narr av andre, er sjølv største nidingen. Idi",nidingen,['narren'],False,nno
"Idiom:
Den som går ubeden til, går utakka","Idiom:
Den som går ubeden til, går utakka heim i det heile.
S",heim,['frå'],False,nno
"Idiom:
Den som har gjeld, er aldri","Idiom:
Den som har gjeld, er aldri fri, og for den",fri,['sorglaus'],False,nno
"Idiom:
Den som har noko å selje, får og noko å","Idiom:
Den som har noko å selje, får og noko å leige. Men når le",leige,['telje'],False,nno
"Idiom:
Den som hjelper i naud, hjelper to","Idiom:
Den som hjelper i naud, hjelper to gonger.
Idiom","gonger.
Idiom",['gonger'],False,nno
"Idiom:
Den som ikkje får ride, fell heller ikkje av","Idiom:
Den som ikkje får ride, fell heller ikkje av.
Det finnes ingen som er","
Det",['hesten'],False,nno
"Idiom:
Den som ikkje spør, blir ikkje visare enn","Idiom:
Den som ikkje spør, blir ikkje visare enn han var før. Visdom",han,['før'],False,nno
"Idiom:
Den som ingenting vågar, han ingenting","Idiom:
Den som ingenting vågar, han ingenting får.",får,['vinn'],False,nno
"Idiom:
Den som kjenner sin eigen dårskap, er på veg mot","Idiom:
Den som kjenner sin eigen dårskap, er på veg mot visdom. Den som",visdom,['visdom'],True,nno
"Idiom:
Den som kviskrar, han","Idiom:
Den som kviskrar, han samtykkjer. Eit",samtykkjer,['lyg'],False,nno
"Idiom:
Den som ler sist ler","Idiom:
Den som ler sist ler best.
g) Den","best.
g",['best'],False,nno
"Idiom:
Den som lite veit, han lite","Idiom:
Den som lite veit, han lite får gjort, - den lær",får,['gløymer'],False,nno
"Idiom:
Den som lite vågar, han lite","Idiom:
Den som lite vågar, han lite vinner.
kan det vara","vinner.
kan",['vinn'],False,nno
"Idiom:
Den som lyg, kan stele; og den som stel, kan","Idiom:
Den som lyg, kan stele; og den som stel, kan få folk på nakk",få,['lyge'],False,nno
"Idiom:
Den som lærer ti handverk, han kan ikkje eitt til","Idiom:
Den som lærer ti handverk, han kan ikkje eitt til slutt; den som lærer",slutt,['gagns'],False,nno
"Idiom:
Den som sjeldan ror ut, får sjeldan","Idiom:
Den som sjeldan ror ut, får sjeldan fangst, og den som",fangst,['fisk'],False,nno
"Idiom:
Den som skal gjete, lyt ha auga med","Idiom:
Den som skal gjete, lyt ha auga med seg så han ikkje driv",seg,['seg'],True,nno
"Idiom:
Den som skal lyge, skal ha godt","Idiom:
Den som skal lyge, skal ha godt handlag med ord, og",handlag,['minne'],False,nno
"Idiom:
Den som sparer hendene, får og spare","Idiom:
Den som sparer hendene, får og spare til fant. Fanten",til,['tennene'],False,nno
"Idiom:
Den som talar sanning, vinn over","Idiom:
Den som talar sanning, vinn over menneske - så dei ikkje",menneske,['djevelen'],False,nno
"Idiom:
Den som teier,","Idiom:
Den som teier, samtykkjer.
Led","samtykkjer.
Led",['samtykkjer'],False,nno
"Idiom:
Den som vil freden nyte, må ikkje freden","Idiom:
Den som vil freden nyte, må ikkje freden byte. Det vart ein",byte,['bryte'],False,nno
"Idiom:
Den som vil ha kjernen, skal først bite","Idiom:
Den som vil ha kjernen, skal først bite av tungen!
Når",av,['skalet'],False,nno
"Idiom:
Den som vil på havet, skal ikkje ro","Idiom:
Den som vil på havet, skal ikkje ro i dag.
Ingve",i,['hardt'],False,nno
"Idiom:
Den som vil sleikje i alle fat, får kjenne mang ein","Idiom:
Den som vil sleikje i alle fat, får kjenne mang ein ilt.
Særleg","ilt.
Særleg",['smak'],False,nno
"Idiom:
Den som vil smake på alt, han får både surt og","Idiom:
Den som vil smake på alt, han får både surt og salt.
Barn og ungdom","salt.
Barn",['salt'],False,nno
"Idiom:
Den som vågar, han anten vinn eller","Idiom:
Den som vågar, han anten vinn eller far.
Den sonen som","far.
Den",['tapar'],False,nno
"Idiom:
Den talar mest som minst","Idiom:
Den talar mest som minst hev.
Målet aat:","hev.
Målet",['veit'],False,nno
"Idiom:
Der dygda vantar, er venleiken lite","Idiom:
Der dygda vantar, er venleiken lite til hugnad. (N",til,['verd'],False,nno
"Idiom:
Der ein pløyer grunt, vil det vekse","Idiom:
Der ein pløyer grunt, vil det vekse grønt opp av jorda.
M",grønt,['tunt'],False,nno
"Idiom:
Der makt og vilje vantar, er inga","Idiom:
Der makt og vilje vantar, er inga kvinne god.
Litt om",kvinne,['råd'],False,nno
"Idiom:
Der makta har rett, har retten inga","Idiom:
Der makta har rett, har retten inga makt. Der makta",makt,['makt'],True,nno
