prompt,generated_text,predicted_token,accepted_predictions,correct_prediction,language
"Idiom:
Alderdommen er ikkje ungdommen","Idiom:
Alderdommen er ikkje ungdommen lik.",lik,['lik'],True,nno
"Idiom:
Alle gode ting er","Idiom:
Alle gode ting er tre. Det er ikke",tre,['tre'],True,nno
"Idiom:
Alle har bra døtrer, men ingen får bra","Idiom:
Alle har bra døtrer, men ingen får bra sønner.
som er","sønner.
som",['sonekone'],False,nno
"Idiom:
Alle manns venn er alle manns","Idiom:
Alle manns venn er alle manns narr.
er en","narr.
er",['narr'],False,nno
"Idiom:
Alle sko kan ikkje lagast over ein","Idiom:
Alle sko kan ikkje lagast over ein lest.
skoen som","lest.
skoen",['lest'],False,nno
"Idiom:
Alle svin er svarte i","Idiom:
Alle svin er svarte i Afrika.
svart i","Afrika.
svart",['mørkret'],False,nno
"Idiom:
Alle vegar fører til","Idiom:
Alle vegar fører til Rom, heiter det.",Rom,['Rom'],True,nno
"Idiom:
Alle vil ape og ingen vil","Idiom:
Alle vil ape og ingen vil være apekatt",være,['skape'],False,nno
"Idiom:
Alle vil leve lenge, men ingen vil bli","Idiom:
Alle vil leve lenge, men ingen vil bli gamle.",gamle,['gammal'],False,nno
"Idiom:
Alt lyt ha si","Idiom:
Alt lyt ha si tid: Det er ikkje",tid,['tid'],True,nno
"Idiom:
Alt stygt trivst i","Idiom:
Alt stygt trivst i det gode selskap.",det,['mørkret'],False,nno
"Idiom:
Altfor kvast er og til","Idiom:
Altfor kvast er og til å vera sant; det",å,['last'],False,nno
"Idiom:
Altfor romhendt står att","Idiom:
Altfor romhendt står attom døra og ventar",om,['tomhendt'],False,nno
"Idiom:
Andre tider gjev andre","Idiom:
Andre tider gjev andre ord og uttrykk. I",ord,['tankar'],False,nno
"Idiom:
Annan manns lyte er lett å","Idiom:
Annan manns lyte er lett å rette, men eigen b",rette,['sjå'],False,nno
"Idiom:
Annan manns vilje er vond å","Idiom:
Annan manns vilje er vond å vende; det er ikkje",vende,['vite'],False,nno
"Idiom:
Auget ser aldri seg","Idiom:
Auget ser aldri seg sjølv.
er det som","sjølv.
er",['sjølv'],False,nno
"Idiom:
Av skade vert ein klok, men ikkje","Idiom:
Av skade vert ein klok, men ikkje rik.
som er i","rik.
som",['rik'],False,nno
"Idiom:
Bak skya er himmelen alltid","Idiom:
Bak skya er himmelen alltid blå.",blå,['blå'],True,nno
"Idiom:
Barn gjer barns","Idiom:
Barn gjer barnslege ting når dei er",lege,['verk'],False,nno
"Idiom:
Barn lærer snarare å tale enn å","Idiom:
Barn lærer snarare å tale enn å skrive. Det er derfor",skrive,['teie'],False,nno
"Idiom:
Barnet er far til","Idiom:
Barnet er far til mannen og mannen er far",mannen,['mannen'],True,nno
"Idiom:
Barnet har berre gråten å ta","Idiom:
Barnet har berre gråten å ta til når det er i",til,['til'],True,nno
"Idiom:
Beste fruktene heng","Idiom:
Beste fruktene heng høgt!",høgt,['høgast'],False,nno
"Idiom:
Betre med ein fugl i handa en med ti på","Idiom:
Betre med ein fugl i handa en med ti på taket.
'There","taket.
'There",['taket'],False,nno
