doc_id,lang_fasttext,lang_fasttext_conf,prompt,first_200_tokens_from_prompt,first_200_tokens_detokenized,dataset,doc_type_x,publish_year
digibok_2008041504057,nn,0.411,Ja ja de skal få,"['▁Ja', '▁ja,', '▁de', '▁skal', '▁få', '.\nHan', '▁sk', 'ok', '▁det', '▁av', '▁seg,', '▁gjekk', '▁ut', '▁i', '▁det', '▁he', 'ite', '▁', 'æs', 'ande', '▁hå', 'ball', 'sol', 'sk', 'in', 'et.', '▁H', 'enta', '▁c', 'i', '▁ø', 'ks', '▁i', '▁ved', 'skj', 'ol', 'et.', '▁Tun', 'et', '▁lu', 'kta', '▁av', '▁sol', 'br', 'ann', '▁Han', '▁reiste', '▁til', '▁skog', 's', '▁og', '▁rette', '▁opp', '▁gjer', 'det', '▁kring', '▁ham', 'ne', 'hag', 'en.', '▁För', '▁rundt', '▁og', '▁skifte', '▁ut', '▁rot', 'ne', '▁stol', 'par', '.', '▁Tra', 'kka', '▁i', '▁ma', 'ur', '▁og', '▁ble', 'kke', 'g', 'ras', '▁og', '▁tørr', '▁lyn', 'g.', '▁I', '▁gransk', 'ugg', 'ar', '▁og', '▁røy', 'sar', '▁og', '▁h', 'ogg', 'or', 'm.', '▁E', 'inst', 'apen', '▁stod', '▁stri', '.', '▁Kon', 'vall', 'ane', '▁var', '▁kv', 'ite', '▁av', '▁vok', 's,', '▁Mari', 'hand', '▁gre', 'ip', '▁ut', '▁i', '▁luft', 'a.', '▁Det', '▁ra', 'uk', '▁tju', 'kt', '▁og', '▁gult', '▁frå', '▁einer', 'b', 'usk', 'ane.', '▁Brun', '▁stor', 'fugl', '▁sprang', '▁framfor', '▁ein', '▁med', '▁opp', 'br', 'usa', '▁fj', 'ører', ':\nP', 'er', '▁sve', 'itta', '▁og', '▁skifte', '▁ut', '▁stol', 'par', '.', '▁Han', '▁kom', '▁ut', '▁pa', '▁berg', 'kn', 'att', 'ar', '▁og', '▁sig', '▁ned', '▁til', '▁B', 'uf', 'ast', '.\nh', 'ans.', '▁Han', '▁syntes', '▁det', '▁var', '▁ei', '▁um', 'åt', 'eleg', '▁stjerne', '.\nVar', 'dag', 'sfolk', '.\nAv', '▁Ker', 'stin', '▁Hed', '▁Vi', '▁år', '▁den', '▁', 'ätt', ',', '▁som', '▁alltid', '▁skall', '▁förb', 'li.', '▁vi,', '▁grå', 'a']"," Ja ja, de skal få.
Han skok det av seg, gjekk ut i det heite æsande håballsolskinet. Henta ci øks i vedskjolet. Tunet lukta av solbrann Han reiste til skogs og rette opp gjerdet kring hamnehagen. För rundt og skifte ut rotne stolpar. Trakka i maur og blekkegras og tørr lyng. I granskuggar og røysar og hoggorm. Einstapen stod stri. Konvallane var kvite av voks, Marihand greip ut i lufta. Det rauk tjukt og gult frå einerbuskane. Brun storfugl sprang framfor ein med oppbrusa fjører:
Per sveitta og skifte ut stolpar. Han kom ut pa bergknattar og sig ned til Bufast.
hans. Han syntes det var ei umåteleg stjerne.
Vardagsfolk.
Av Kerstin Hed Vi år den ätt, som alltid skall förbli. vi, gråa",books,restricted-book,2021
digibok_2008082104033,nn,0.702,Då eg fekk høyra at,"['▁Då', '▁eg', '▁fekk', '▁høy', 'ra', '▁at', '▁ingen', '▁annan', '▁enn', '▁mat', 'mus', 'ikken', '▁skulle', '▁fa', '▁koma', '▁inn', '▁i', '▁det', '▁fyr', 'ste', '▁laget', '▁som', '▁send', 'elaget', '▁gjorde', '▁for', '▁send', 'elaget', '▁frå', '▁den', '▁svenske', '▁riks', 'dag', 'en,', '▁då', '▁sende', '▁eg', '▁bod', '▁til', '▁ordfør', 'ar', 'en,', '▁om', '▁eg', '▁ikkje', '▁fekk', '▁lov', '▁til', '▁å', '▁koma', '▁inn', '▁på', '▁t', 'revet', '▁I', '▁ein', '▁av', 'kro', 'k', '▁der', '▁ingen', '▁kunne', '▁sjå', '▁meg,', '▁og', '▁der', '▁høy', 'ra', '▁på', '▁tal', 'ane,', '▁Men', '▁vert', 'en,', '▁kjøp', 'mann', '▁K.', '▁.', '▁..', ',', '▁svara', '▁for', '▁gj', 'esten', '▁sin,', '▁han', '▁kom', '▁visst', '▁i', '▁hug', '▁då', '▁han', '▁var', '▁med', '▁i', '▁«', 'Re', 'form', 'forening', 'a', '»', '▁«H', 'els', '▁Vin', 'je', '▁at', '▁han', '▁no', '▁er', '▁i', '▁Trondheim', '!\n', '«', 'Det', '▁skal', '▁vel', '▁se', 'ia.', '»', '▁svara', '▁eg', ',', '▁e', 'at', '▁eg', '▁no', '▁er', '▁i', '▁den', '▁k', 'rå', 'ke', 'kro', 'ken', '▁der', '▁folk', '▁kan', '▁steng', 'ja', '▁seg', '▁inne', '▁med', '▁dår', 'skapen', '▁sin', '.\nE', 'g', '▁sende', '▁bod', '▁tilbake', '▁at', '▁eg', '▁gjekk', '▁med', '▁riks', 'ens', '▁grunn', 'lov', '▁I', '▁hand', 'a,', '▁og', '▁dersom', '▁nokon', '▁t', 'orde', '▁steng', 'ja', '▁meg', '▁ute,', '▁skulle', '▁vi', '▁tal', 'ast', '▁med', '▁om', '▁den', '▁ting,', '▁for', '▁det', '▁var', '▁rik', 'sk', 'assa', '▁som', '▁gjorde', '▁lag', 'et,', '▁og', '▁folk', '▁hadde', '▁rett', '▁til', '▁å', '▁høy', 'ra', '▁det', '▁som', '▁vart', '▁sagt']"," Då eg fekk høyra at ingen annan enn matmusikken skulle fa koma inn i det fyrste laget som sendelaget gjorde for sendelaget frå den svenske riksdagen, då sende eg bod til ordføraren, om eg ikkje fekk lov til å koma inn på trevet I ein avkrok der ingen kunne sjå meg, og der høyra på talane, Men verten, kjøpmann K. . .., svara for gjesten sin, han kom visst i hug då han var med i «Reformforeninga» «Hels Vinje at han no er i Trondheim!
«Det skal vel seia.» svara eg, eat eg no er i den kråkekroken der folk kan stengja seg inne med dårskapen sin.
Eg sende bod tilbake at eg gjekk med riksens grunnlov I handa, og dersom nokon torde stengja meg ute, skulle vi talast med om den ting, for det var rikskassa som gjorde laget, og folk hadde rett til å høyra det som vart sagt",books,restricted-book,2021
digibok_2018030548030,nn,0.53,I Aurlandselva var andelen presmolt,"['▁I', '▁Aur', 'land', 'sel', 'va', '▁var', '▁andelen', '▁pres', 'm', 'olt', '▁laks', '▁rekord', 'høg', '▁mellom', '▁to', 'år', 'ing', 'ane,', '▁dette', '▁var', '▁også', '▁den', '▁ein', 'aste', '▁år', 'sk', 'lass', 'a', '▁av', '▁laks', '▁som', '▁hadde', '▁fisk', '▁som', '▁blei', '▁karakter', 'isert', '▁som', '▁pres', 'm', 'ol', 't,', '▁og', '▁det', '▁er', '▁første', '▁gong', '▁berre', '▁ein', '▁år', 'sklasse', '▁av', '▁laks', '▁utg', 'jer', '▁pres', 'm', 'olt', 'produksjonen', '▁i', '▁Aur', 'land', 'sel', 'va', '▁(t', 'abell', '▁3)', '.\nFor', '▁a', 'ure', '▁var', '▁86', '▁to', 'år', 'ingar', '▁pres', 'm', 'olt', '▁i', '▁2008,', '▁dette', '▁er', '▁det', '▁største', '▁antalet', '▁pres', 'm', 'olt', '▁som', '▁er', '▁registrert', '▁for', '▁denne', '▁alder', 'sgrupp', 'a,', '▁andelen', '▁var', '▁derimot', '▁ikkje', '▁spesielt', '▁stor', '▁noko', '▁som', '▁skuld', 'ast', '▁at', '▁det', '▁blei', '▁fang', 'a', '▁rekord', 'm', 'ange', '▁to', 'år', 'ingar', '▁av', '▁a', 'ure', '▁i', '▁2008', '▁(t', 'abell', '▁3)', '.\nT', 'abell', '▁3.', '▁Antal', '▁a', 'ure', '▁og', '▁laks', '▁av', '▁den', '▁ein', 'skilde', '▁alder', 'sgruppe', '▁og', '▁antal', '▁av', '▁desse', '▁som', '▁er', '▁pres', 'm', 'olt', '▁og', '▁andel', '▁(', '%)', '▁pres', 'm', 'olt', '▁av', '▁kvar', '▁alder', 'sgruppe', '▁som', '▁blei', '▁fang', 'a', '▁under', '▁elektro', 'fiske', '▁i', '▁Aur', 'land', 'sel', 'va', '▁i', '▁sidan', '▁1995', '.\nI', '▁V', 'ass', 'byg', 'del', 'va', '▁var', '▁andelen', '▁av', '▁pres', 'm', 'olt', '▁laks', '▁og', '▁a', 'ure', '▁om', '▁lag', '▁som', '▁gjennomsnitt', 'et', '▁for', '▁alle', '▁år', 'sk', 'lass']"," I Aurlandselva var andelen presmolt laks rekordhøg mellom toåringane, dette var også den einaste årsklassa av laks som hadde fisk som blei karakterisert som presmolt, og det er første gong berre ein årsklasse av laks utgjer presmoltproduksjonen i Aurlandselva (tabell 3).
For aure var 86 toåringar presmolt i 2008, dette er det største antalet presmolt som er registrert for denne aldersgruppa, andelen var derimot ikkje spesielt stor noko som skuldast at det blei fanga rekordmange toåringar av aure i 2008 (tabell 3).
Tabell 3. Antal aure og laks av den einskilde aldersgruppe og antal av desse som er presmolt og andel (%) presmolt av kvar aldersgruppe som blei fanga under elektrofiske i Aurlandselva i sidan 1995.
I Vassbygdelva var andelen av presmolt laks og aure om lag som gjennomsnittet for alle årsklass",books,restricted-book,2021
digibok_2012112306025,nn,0.777,Det vart berre ei hås,"['▁Det', '▁vart', '▁berre', '▁ei', '▁hå', 's', '▁kv', 'isk', 'ring', '.\nA', 're', '▁måtte', '▁få', '▁han', '▁til', '▁dok', 'ter', '▁så', '▁snart', '▁som', '▁det', '▁let', '▁seg', '▁gj', 'era', '.\nMen', '▁det', '▁var', '▁fullt', '▁av', '▁sold', 'atar', '▁i', '▁fjell', 'et.', '▁Ein', '▁kunne', '▁aldri', '▁vita', '▁kv', 'en', '▁ein', '▁møtte', '.\nHer', '▁var', '▁både', '▁ven', '▁og', '▁fi', 'ende', '.\nDet', '▁ville', '▁bli', '▁svært', '▁vansk', 'eleg', '▁å', '▁ber', 'a', '▁Sverre', '▁bort', '▁til', '▁hytt', 'ene', '▁der', '▁nord', '-m', 'enn', 'ene', '▁held', 't', '▁til.', '▁Han', '▁måtte', '▁over', '▁eit', '▁høg', 'de', '-', 'drag', '▁og', '▁var', '▁redd', '▁for', '▁at', '▁dei', '▁kunne', '▁bli', '▁pl', 'aff', 'a', '▁ned', '▁før', '▁dei', '▁kom', '▁fram.', '▁Skulle', '▁han', '▁ikkje', '▁heller', '▁prø', 'va', '▁å', '▁ber', 'a', '▁Sverre', '▁ned', '▁i', '▁bygda', '?', '▁Der', '▁kunne', '▁han', '▁kanskje', '▁få', '▁tak', '▁i', '▁ein', '▁skikk', 'eleg', '▁dok', 'ter', '?\nA', 're', '▁kom', '▁på', '▁at', '▁far', '▁til', '▁Å', 'se', '▁hadde', '▁ei', '▁hytte', '▁ved', '▁Bor', '-v', 'at', 'net', '.\nHan', '▁måtte', '▁i', '▁alle', '▁fall', '▁prøv', 'a.', '▁Det', '▁hast', 'a', '▁nok', '▁med', '▁å', '▁få', '▁Sverre', '▁til', '▁ein', '▁k', 'ynd', 'ig', '▁dok', 'ter', '.\nHan', '▁måtte', '▁laga', '▁ein', '▁kj', 'el', 'ke', '▁av', '▁ski', 'ene.', '▁Men', '▁korleis', '▁skulle', '▁han', '▁få', '▁det', '▁til', '?', '▁J', 'au,', '▁han', '▁hadde', '▁band', '▁i', '▁rygg', '-se', 'kken.', '▁Og', '▁der', '▁stod', '▁ei', '▁eins', 'leg', '▁fjell', '-b', 'jør', 'k', '.\n', 'ein']"," Det vart berre ei hås kviskring.
Are måtte få han til dokter så snart som det let seg gjera.
Men det var fullt av soldatar i fjellet. Ein kunne aldri vita kven ein møtte.
Her var både ven og fiende.
Det ville bli svært vanskeleg å bera Sverre bort til hyttene der nord-mennene heldt til. Han måtte over eit høgde-drag og var redd for at dei kunne bli plaffa ned før dei kom fram. Skulle han ikkje heller prøva å bera Sverre ned i bygda? Der kunne han kanskje få tak i ein skikkeleg dokter?
Are kom på at far til Åse hadde ei hytte ved Bor-vatnet.
Han måtte i alle fall prøva. Det hasta nok med å få Sverre til ein kyndig dokter.
Han måtte laga ein kjelke av skiene. Men korleis skulle han få det til? Jau, han hadde band i rygg-sekken. Og der stod ei einsleg fjell-bjørk.
ein",books,restricted-book,1985
digibok_2008072400003,nn,0.731,Ei lita kjøle av austavind,"['▁Ei', '▁li', 'ta', '▁kjøle', '▁av', '▁aust', 'av', 'ind', '▁kom', '▁and', 'ande', '▁da', '▁og', '▁da,', '▁ei', '▁ven', 'lig', '▁li', 'ta', '▁hel', 'sing', '▁frå', '▁andre', '▁st', 'ader', '▁i', '▁verd', 'a,', '▁der', '▁dei', '▁hadde', '▁det', '▁ans', 'les', '▁enn', '▁her.', '▁Eller', '▁ein', '▁kjente', '▁det', '▁som', '▁ei', '▁hjelp', 'ande', '▁hand', ':', '▁ut', 'på', '▁natt', 'a', '▁har', '▁vi', '▁kanskje', '▁aust', 'av', 'ind', 's-', 'ro', 'kke', '▁her.', '▁Det', '▁t', 'erg', 'ar', '▁opp', '▁d', 'øn', 'ningen', '▁kan', '▁hende,', '▁men', '▁det', '▁skulde', '▁da', '▁sette', '▁stor', 'sjø', 'en', '▁på', '▁plass.', '▁det', '▁har', '▁det', '▁ofte', '▁gjort', '.\n—', '▁Der', '▁kjem', '""', 'n', '▁far', '▁sjø', 'l,', '▁sa', '▁eit', '▁av', '▁barna', '▁da', '▁Hel', 'mer', '▁kom', '▁små', 'syn', 'g', 'ande', '▁ned', '▁frå', '▁haug', 'en.', '▁Han', '▁syn', 'g', '▁vog', 'ge', 'visa', '▁si', '▁nå.', '▁—', 'St', 'jern', 'em', 'ikkelen', '▁vår,', '▁sa', '▁den', '▁andre', '▁gap', 'ung', 'en,', '▁for', '▁Hel', 'mer', '▁såg', '▁på', '▁stjern', 'ene', '▁Og', ',', '▁sig', '▁p', 'd', '▁mange', '▁ting', '▁han,', '▁men', '▁det', '▁var', '▁berre', '▁kjærlig', '▁sagt', '▁av', '▁ung', 'en.', '▁-', '▁Og', '▁der', '▁sm', 'att', ""▁'"", 'n', '▁Ro', 'ald', '▁inn', '▁i', '▁bede', 'hus', '-', 'sv', 'al', 'a,', '▁sa', '▁de', 'i.', '▁Det', '▁var', '▁ein', '▁Mikkel', '▁det,', '▁vart', '▁dei', '▁ein', 'ige', '▁om.', '▁M', 'ora', '▁tok', '▁bort', 'i', '▁gut', 'ung', 'en,', '▁og', '▁da', '▁tag', 'de', '▁de', 'i.', '▁Dei', '▁kunde', '▁vel']"," Ei lita kjøle av austavind kom andande da og da, ei venlig lita helsing frå andre stader i verda, der dei hadde det ansles enn her. Eller ein kjente det som ei hjelpande hand: utpå natta har vi kanskje austavinds-rokke her. Det tergar opp dønningen kan hende, men det skulde da sette storsjøen på plass. det har det ofte gjort.
— Der kjem""n far sjøl, sa eit av barna da Helmer kom småsyngande ned frå haugen. Han syng voggevisa si nå. —Stjernemikkelen vår, sa den andre gapungen, for Helmer såg på stjernene Og, sig pd mange ting han, men det var berre kjærlig sagt av ungen. - Og der smatt 'n Roald inn i bedehus-svala, sa dei. Det var ein Mikkel det, vart dei einige om. Mora tok borti gutungen, og da tagde dei. Dei kunde vel",books,restricted-book,2021
digibok_2016042848116,nn,0.589,Praktisk tolka for skule og,"['▁P', 'raktisk', '▁tol', 'ka', '▁for', '▁skule', '▁og', '▁heim', '.\nB', 'ok', 're', 'idar', '▁Lunde', '▁&', '▁co', '.\nI', '▁mange', '▁aar', '▁hev', '▁eg', '▁nytta', '▁Mark', 'use', 'v', 'angel', 'iet', '▁i', '▁konfirm', 'ant', 'upp', 'læring', 'i.', '▁Denne', '▁tolk', 'ing', 'i', '▁er', '▁da', 'a', '▁nærm', 'ast', '▁ei', '▁frukt', '▁av', '▁det', '▁kjenn', 'skapet', '▁til', '▁dette', '▁evangel', 'iet,', '▁eg', '▁ved', '▁det', '▁hev', '▁f', 'enge', '.', '▁Eg', '▁lær', 'de', '▁aa', '▁sj', 'aa', '▁dei', '▁fy', 'rem', 'un', 'ar,', '▁som', '▁Mark', 'use', 'v', 'angel', 'iet', '▁hev', ',', '▁naar', '▁det', '▁gjeld', '▁upp', 'læring', 'i.', '▁Det', '▁er', '▁kort', '▁og', '▁dramatisk', ',', '▁inne', 'h', 'eld', '▁mykje', '▁meir', '▁handling', '▁enn', '▁tal', 'er,', '▁er', '▁di', 'for', '▁meir', '▁konkret', '▁og', '▁sk', 'yn', 'legt', '▁for', '▁dei', '▁unge', '▁enn', '▁noko', '▁av', '▁dei', '▁andre.', '▁—', '▁Fy', 'rem', 'a', 'alet', '▁mitt', '▁hev', '▁ikkje', '▁vore', '▁vit', 'skap', 'eleg', 't,', '▁men', '▁berre', '▁det', '▁aa', '▁pe', 'ika', '▁paa', '▁det', '▁liv', 'ande', '▁Jesus', 'bil', 'æ', 'te,', '▁som', '▁Mark', 'us', '▁gjev', ',', '▁og', '▁l', 'ata', '▁dei', '▁unge', '▁faa', '▁kj', 'enna', '▁det', '▁livets', '▁pul', 'ss', 'lag', '▁som', '▁gjeng', '▁gjen', 'om', '▁skild', 'ring', 'ara', 'e.', '▁Det', '▁er', '▁mi', '▁v', 'on,', '▁at', '▁tolk', 'ing', 'i', '▁mi', '▁til', '▁tra', 'ss', '▁for', '▁dei', '▁mange', '▁ve', 'il', 'or', '▁vil', '▁vera', '▁til', '▁nytte', '▁ved', '▁relig', 'ions', 'upp', 'læring', 'i', '▁i', '▁folkesk', 'ul']"," Praktisk tolka for skule og heim.
Bokreidar Lunde & co.
I mange aar hev eg nytta Markusevangeliet i konfirmantupplæringi. Denne tolkingi er daa nærmast ei frukt av det kjennskapet til dette evangeliet, eg ved det hev fenge. Eg lærde aa sjaa dei fyremunar, som Markusevangeliet hev, naar det gjeld upplæringi. Det er kort og dramatisk, inneheld mykje meir handling enn taler, er difor meir konkret og skynlegt for dei unge enn noko av dei andre. — Fyremaalet mitt hev ikkje vore vitskapelegt, men berre det aa peika paa det livande Jesusbilæte, som Markus gjev, og lata dei unge faa kjenna det livets pulsslag som gjeng gjenom skildringarae. Det er mi von, at tolkingi mi til trass for dei mange veilor vil vera til nytte ved religionsupplæringi i folkeskul",books,restricted-book,2021
venneslatidende_null_null_20100914_22_66_1_MODSMD_ARTICLE35,nn,0.437,Han hevder dette blir siste,"['▁Han', '▁hevder', '▁dette', '▁blir', '▁siste', '▁Pul', 's-', 'kon', 'sert', '▁for', '▁en', '▁stund', '.\n-', '▁Vi', '▁har', '▁gjort', '▁en', '▁god', '▁jobb', '▁og', '▁vi', '▁har', '▁gått', '▁i', '▁null', '.']"," Han hevder dette blir siste Puls-konsert for en stund.
- Vi har gjort en god jobb og vi har gått i null.",factual,restricted-newspaper_ocr,2010
amedia-27544b2b2ec0b316ef444fd7e9d1d383,nn,0.557,Kvinnheringen har tidlegare skrive om,"['▁Kvinn', 'her', 'ingen', '▁har', '▁tidlegare', '▁skrive', '▁om', '▁Hus', 'nes', '▁Utvikling', '▁sine', '▁plan', 'ar', '▁om', '▁eit', '▁bade', 'anlegg', '▁med', '▁fleire', '▁tram', 'pol', 'inar', '▁i', '▁Hus', 'nes', 'park', 'en.', '▁Det', '▁er', '▁no', '▁ned', 'skal', 'ert', '▁og', '▁planen', '▁er', '▁å', '▁få', '▁på', '▁plass', '▁ein', '▁etterl', 'eng', 'ta', '▁le', 'ike', 'plass', '▁i', '▁tilknyt', 'ing', '▁til', '▁Hus', 'nes', '▁sentrum', '.\n–', '▁B', 'ade', 'anlegget', '▁er', '▁lagt', '▁på', '▁is', '▁inntil', '▁vid', 'are.', '▁No', '▁er', '▁det', '▁snakk', '▁om', '▁ein', '▁familie', 'park', '▁bestå', 'ande', '▁av', '▁le', 'ike', 'appar', 'at,', '▁ben', 'kar', '▁og', '▁ei', '▁grill', 'h', 'ytte', '.', '▁Sånn', '▁at', '▁ung', 'ane', '▁kan', '▁kunna', '▁le', 'ika', '▁og', '▁ha', '▁det', '▁kjekt', ',', '▁medan', '▁foreld', 'ra', '▁kan', '▁sit', 'ja', '▁og', '▁sjå', '▁på.', '▁Det', '▁er', '▁ikkje', '▁le', 'ike', 'plass', 'ar', '▁i', '▁tilknyt', 'ing', '▁til', '▁Hus', 'nes', '▁sentrum', '▁i', '▁dag,', '▁så', '▁dette', '▁trur', '▁vi', '▁vil', '▁vera', '▁eit', '▁kjær', 'kom', 'e', '▁anlegg', '▁for', '▁hus', 'ness', 'amfunn', 'et,', '▁seier', '▁Olsen', '.\nF', 'amil', 'ie', 'parken', '▁er', '▁plan', 'lagd', '▁ved', '▁Od', 'in-', 'str', 'anda', '▁like', '▁ved', '▁ro', 'huset', '.\n–', '▁I', '▁dette', '▁området', '▁ligg', '▁også', '▁den', '▁populære', '▁fris', 'be', 'eg', 'olf', 'ban', 'en.', '▁Så', '▁med', '▁familie', 'parken', '▁på', '▁plass,', '▁så', '▁hå', 'par', '▁vi', '▁det', '▁kan', '▁bli', '▁eit', '▁rek', 're', 'asjon', 'sområde', '▁som', '▁mange', '▁kan', '▁ta', '▁i', '▁bruk,', '▁seier', '▁Ol']"," Kvinnheringen har tidlegare skrive om Husnes Utvikling sine planar om eit badeanlegg med fleire trampolinar i Husnesparken. Det er no nedskalert og planen er å få på plass ein etterlengta leikeplass i tilknyting til Husnes sentrum.
– Badeanlegget er lagt på is inntil vidare. No er det snakk om ein familiepark beståande av leikeapparat, benkar og ei grillhytte. Sånn at ungane kan kunna leika og ha det kjekt, medan foreldra kan sitja og sjå på. Det er ikkje leikeplassar i tilknyting til Husnes sentrum i dag, så dette trur vi vil vera eit kjærkome anlegg for husnessamfunnet, seier Olsen.
Familieparken er planlagd ved Odin-stranda like ved rohuset.
– I dette området ligg også den populære frisbeegolfbanen. Så med familieparken på plass, så håpar vi det kan bli eit rekreasjonsområde som mange kan ta i bruk, seier Ol",factual,restricted-newspapers_mediafutures_amedia,2023
faedrelandsvennen_null_null_19581212_82_288_1_MODSMD_ARTICLE259,nn,0.445,Undulat med bur til salgs,"['▁Und', 'ul', 'at', '▁med', '▁bur', '▁til', '▁salg', 's,', '▁kr', '..', '▁40', '▁Bill', 'ett', '▁mr', 'k.', '▁«', '15', '7', '».']"," Undulat med bur til salgs, kr.. 40 Billett mrk. «157».",factual,restricted-newspaper_ocr,1958
amedia-c8836edf41338e80887e4c995bdc523d,nn,0.71,Like tydelege har ordførar Jenny,"['▁Like', '▁ty', 'del', 'ege', '▁har', '▁ordfør', 'ar', '▁Jenny', '▁Føl', 'ling', '▁(S', 'p)', '▁og', '▁vara', 'ord', 'før', 'ar', '▁Anne', '▁Lille', 'a', 'asen', '▁(H)', '▁vor', 'e.', '▁Dei', '▁vil', '▁ha', '▁alternativ', '▁2,', '▁sjølv', '▁om', '▁ein', '▁må', '▁finne', '▁peng', 'ane', '▁ein', '▁stad', '.', '▁For', '▁inne', '▁i', '▁forslaget', '▁til', '▁økonomi', 'plan', '▁for', '▁20', '24', '-2', '7,', '▁ligg', '▁Sande', '▁skule', '▁berre', '▁inne', '▁med', '▁15', '5', '▁million', 'ar', '▁kroner', '.\nA', 'ller', '▁helst', '▁vil', '▁Fol', 'land', '▁sjøl', 'vs', 'agt', '▁ha', '▁alternativ', '▁3,', '▁men', '▁«R', 'oll', 's-', 'R', 'oy', 'ce', '-l', 'øy', 's', 'inga', '»', '▁til', '▁2', '64', '▁million', 'ar', '▁ser', '▁ho', '▁ikkje', '▁føre', '▁seg', '▁at', '▁politik', 'arane', '▁finn', '▁rom', '▁til', '.\nAl', 'ternativ', '▁2', '▁til', '▁199', '▁million', 'ar', '▁legg', '▁opp', '▁til', '▁å', '▁rive', '▁nokre', '▁av', '▁fl', 'øyene', '▁og', '▁bygge', '▁opp', '▁i', '▁høg', 'da.', '▁Det', '▁app', 'la', 'uder', 'er', '▁Fol', 'land', '.\n–', '▁Og', '▁då', '▁må', '▁det', '▁bli', '▁lagt', '▁inn', '▁pengar', '▁for', '▁ute', 'områ', 'da.', '▁Ung', 'ane', '▁har', '▁ingenting', '▁å', '▁gjere', '▁her.', '▁Det', '▁vi', '▁har,', '▁har', '▁FA', 'U', '▁skra', 'pa', '▁saman', '▁pengar', '▁til', '.\nEtter', '▁planen', '▁skal', '▁skul', 'en', '▁stå', '▁klar', '▁i', '▁202', '6.', '▁Derfor', '▁har', '▁ein', '▁behov', '▁for', '▁å', '▁av', 'klare', '▁løy', 'sing', '▁og', '▁sette', '▁av', '▁pengar', '▁i', '▁økonomi', 'planen', '▁no', '.\n–', '▁Dei', '▁må', '▁for', '▁Guds', '▁skuld', '▁kome', '▁med', '▁ei', '▁rask']"," Like tydelege har ordførar Jenny Følling (Sp) og varaordførar Anne Lilleaasen (H) vore. Dei vil ha alternativ 2, sjølv om ein må finne pengane ein stad. For inne i forslaget til økonomiplan for 2024-27, ligg Sande skule berre inne med 155 millionar kroner.
Aller helst vil Folland sjølvsagt ha alternativ 3, men «Rolls-Royce-løysinga» til 264 millionar ser ho ikkje føre seg at politikarane finn rom til.
Alternativ 2 til 199 millionar legg opp til å rive nokre av fløyene og bygge opp i høgda. Det applauderer Folland.
– Og då må det bli lagt inn pengar for uteområda. Ungane har ingenting å gjere her. Det vi har, har FAU skrapa saman pengar til.
Etter planen skal skulen stå klar i 2026. Derfor har ein behov for å avklare løysing og sette av pengar i økonomiplanen no.
– Dei må for Guds skuld kome med ei rask",factual,restricted-newspapers_mediafutures_amedia,2023
