prompt,generated_text,predicted_token,accepted_predictions,correct_prediction,language
"Idiom:
Alderdommen er ikkje ungdommen","Idiom:
Alderdommen er ikkje ungdommen lik, men den er",lik,['lik'],True,nno
"Idiom:
Alle gode ting er","Idiom:
Alle gode ting er tre.",tre,['tre'],True,nno
"Idiom:
Alle har bra døtrer, men ingen får bra","Idiom:
Alle har bra døtrer, men ingen får bra svigersønner.
",svigersønner,['sonekone'],False,nno
"Idiom:
Alle manns venn er alle manns","Idiom:
Alle manns venn er alle manns narr",narr,['narr'],True,nno
"Idiom:
Alle sko kan ikkje lagast over ein","Idiom:
Alle sko kan ikkje lagast over ein lest.",lest,['lest'],True,nno
"Idiom:
Alle svin er svarte i","Idiom:
Alle svin er svarte i mørket.",mørket,['mørkret'],False,nno
"Idiom:
Alle vegar fører til","Idiom:
Alle vegar fører til Rom.",Rom,['Rom'],True,nno
"Idiom:
Alle vil ape og ingen vil","Idiom:
Alle vil ape og ingen vil skape.
",skape,['skape'],True,nno
"Idiom:
Alle vil leve lenge, men ingen vil bli","Idiom:
Alle vil leve lenge, men ingen vil bli gamle.",gamle,['gammal'],False,nno
"Idiom:
Alt lyt ha si","Idiom:
Alt lyt ha si tid.
'Alt","tid.
'Alt",['tid'],False,nno
"Idiom:
Alt stygt trivst i","Idiom:
Alt stygt trivst i skuggen og veks",skuggen,['mørkret'],False,nno
"Idiom:
Altfor kvast er og til","Idiom:
Altfor kvast er og til skade.",skade,['last'],False,nno
"Idiom:
Altfor romhendt står att","Idiom:
Altfor romhendt står attmed alt for romh",med,['tomhendt'],False,nno
"Idiom:
Andre tider gjev andre","Idiom:
Andre tider gjev andre ordtak.",ordtak,['tankar'],False,nno
"Idiom:
Annan manns lyte er lett å","Idiom:
Annan manns lyte er lett å sjå.",sjå,['sjå'],True,nno
"Idiom:
Annan manns vilje er vond å","Idiom:
Annan manns vilje er vond å vita; ein veit ikkje",vita,['vite'],False,nno
"Idiom:
Auget ser aldri seg","Idiom:
Auget ser aldri seg sjølv",sjølv,['sjølv'],True,nno
"Idiom:
Av skade vert ein klok, men ikkje","Idiom:
Av skade vert ein klok, men ikkje rik.",rik,['rik'],True,nno
"Idiom:
Bak skya er himmelen alltid","Idiom:
Bak skya er himmelen alltid blå.",blå,['blå'],True,nno
"Idiom:
Barn gjer barns","Idiom:
Barn gjer barns verk",verk,['verk'],True,nno
"Idiom:
Barn lærer snarare å tale enn å","Idiom:
Barn lærer snarare å tale enn å skrive. Det er ikkje",skrive,['teie'],False,nno
"Idiom:
Barnet er far til","Idiom:
Barnet er far til faren.
",faren,['mannen'],False,nno
"Idiom:
Barnet har berre gråten å ta","Idiom:
Barnet har berre gråten å ta til når det vil ha",til,['til'],True,nno
"Idiom:
Beste fruktene heng","Idiom:
Beste fruktene heng høgst på treet",høgst,['høgast'],False,nno
"Idiom:
Betre med ein fugl i handa en med ti på","Idiom:
Betre med ein fugl i handa en med ti på taket",taket,['taket'],True,nno
"Idiom:
Betre med eit ærleg nei enn med eit falskt","Idiom:
Betre med eit ærleg nei enn med eit falskt ja",ja,['ja'],True,nno
"Idiom:
Betre seint enn","Idiom:
Betre seint enn aldri.",aldri,['aldri'],True,nno
"Idiom:
Betre ulært enn ille","Idiom:
Betre ulært enn ille lært.",lært,['lært'],True,nno
"Idiom:
Blind høne finn og eit","Idiom:
Blind høne finn og eit korn",korn,['korn'],True,nno
"Idiom:
Blod er aldri så tunt at det er tjukkare enn","Idiom:
Blod er aldri så tunt at det er tjukkare enn vatn",vatn,['vatn'],True,nno
"Idiom:
Brent barn skyr","Idiom:
Brent barn skyr ilden",ilden,['elden'],False,nno
"Idiom:
Bønder trivst mellom bønder","Idiom:
Bønder trivst mellom bønder best, og byfolk",best,['best'],True,nno
"Idiom:
Dei gamle skal ein ære, dei unge skal ein","Idiom:
Dei gamle skal ein ære, dei unge skal ein lære.",lære,['lære'],True,nno
