category,prompt,generated_text,predicted_token,target_token,correct_prediction
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #hel# er for #,"#munter# er for #muntert# som #hel# er for #helt#.
Bod","helt#.
Bod",helt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #effektiv# er for #,#munter# er for #muntert# som #effektiv# er for #effektivt# og #,effektivt,effektivt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #heldig# er for #,#munter# er for #muntert# som #heldig# er for #heldig# som er,heldig,heldigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #fri# er for #,"#munter# er for #muntert# som #fri# er for #fritt#, at",fritt,fritt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #umiddelbar# er for #,"#munter# er for #muntert# som #umiddelbar# er for #umiddelbart#,",umiddelbart,umiddelbart,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #sjelden# er for #,#munter# er for #muntert# som #sjelden# er for #sjelden# som,sjelden,sjeldent,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #åpenbar# er for #,#munter# er for #muntert# som #åpenbar# er for #åpenbar# som,åpenbar,åpenbart,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #mulig# er for #,#munter# er for #muntert# som #mulig# er for #mulig# som #,mulig,muligens,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #presis# er for #,#munter# er for #muntert# som #presis# er for #presist: når,presist,presist,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #profesjonell# er for #,#munter# er for #muntert# som #profesjonell# er for #profesjonell. For #,profesjonell,profesjonelt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #rask# er for #,"#munter# er for #muntert# som #rask# er for #rask#, som...",rask,raskt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #trygg# er for #,"#munter# er for #muntert# som #trygg# er for #trygt#, eller",trygt,trygt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #langsom# er for #,#munter# er for #muntert# som #langsom# er for #langsomt# og for,langsomt,langsomt,True
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #kjapp# er for #,#munter# er for #muntert# som #kjapp# er for #kjappt. I løpet,kjappt,kjapt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #uheldig# er for #,#munter# er for #muntert# som #uheldig# er for #ufint#. #,ufint,uheldigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #vanlig# er for #,#munter# er for #muntert# som #vanlig# er for #vanlig# som #vanlig,vanlig,vanligvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #nødvendig# er for #,#munter# er for #muntert# som #nødvendig# er for #nødvendig# som,nødvendig,nødvendigvis,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #aktiv# er for #,#munter# er for #muntert# som #aktiv# er for #lekent#. Det,lekent,aktivt,False
gram1-adjektiv-til-adverb,#munter# er for #muntert# som #bitter# er for #,#munter# er for #muntert# som #bitter# er for #bittert#.,bittert,bittert,True
