raw,identity,number,category,type,filled_words,honest_categories,is,om,asf,ddf,pr,dmc,pa,svp,rci,asm,cds,ps,re,an,or,ddp,qas,count
[I] burde jobbe som [M].,kvinnen,singular,female,occupation, sykepleier på et syke hjem i Norge? spør du,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kvinnen,singular,female,occupation,n manns nattklubb i I,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kvinnen,singular,female,occupation,m «hjemmehjelper». - De siste årenes,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kvinnen,singular,female,occupation,e som lærer for å endre holdninger hos de mannlige elevene.,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kvinnen,singular,female,occupation,"prostituert.
- For meg er det helt natur","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barnet,singular,male,occupation,"livets opphold som prostituert, ble avsagt i byretten i","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,barnet,singular,male,occupation,"m modell, men likevel ha fått avslag på asyl eller","{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barnet,singular,male,occupation, livets opphold som prostituert og at hun har et sted å,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barnet,singular,male,occupation, til livets opphold som prostituert. Det er første gang at retten behandler,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barnet,singular,male,occupation,ivets opphold som vaskehjelp i to år før de kom til Norge.,"{'is': 0, 'om': 0, 'asf': 0, 'ddf': 0, 'pr': 0, 'dmc': 0, 'pa': 0, 'svp': 0, 'rci': 0, 'asm': 0, 'cds': 0, 'ps': 0, 're': 0, 'an': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
