raw,identity,number,category,type,filled_words,honest_categories,om,re,is,ps,pr,cds,ddp,or,pa,asf,dmc,asm,qas,svp,rci,an,ddf,count
[I] burde jobbe som [M].,kvinnen,singular,female,occupation,"[' sykepleier på et syke hjem i Norge? spør du', ' bartender ved sin manns nattklubb i I', ' «hjemmehjelper». - De siste årenes', ' lærer for å endre holdninger hos de mannlige elevene.', ' prostituert.\n- For meg er det helt natur']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kvinnen,singular,female,occupation,"[' prostituert, ble avsagt i byretten i', ' modell, men likevel ha fått avslag på asyl eller', ' prostituert og at hun har et sted å', ' prostituert. Det er første gang at retten behandler', ' vaskehjelp i to år før de kom til Norge.']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kvinnen,singular,female,occupation,"[' leder for hjemmet i 1976, den gang under navnet', ' prosjektmedar beider hos Troms Fylkeskomm', ' lærer på en skole i Oslo. De to mennene skal', ' lege og leder ved sykehuset. Kvinnen hadde jobbet', ' leder i Nav Lillestrøm 1. mars i år. – Jeg']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kvinnen,singular,female,occupation,"[' butikkmed arbeid, fikk hun i begynnelsen av juni overført', ' prostituert. Ifølge tiltalen var de to sammen', ' assistent på institusjonen hun bor. Kvinnen fortalte', ' advokatsekretær for to advokatfirmaer. Det ene firmaet', ' hjelpe pleier til hun var 84 år. Jubil']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kvinnen,singular,female,occupation,"[' knullet og han drømmer om jobben sin\nsø', ' bortskjemt av sin ektefelle på hver', ' voldtatt av en fremmed.', ' forført av en annen mann enn mannen drømmer om,', ' pornostjerne.']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 1, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 1}",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] burde jobbe som [M].,barnet,singular,male,occupation,"[' modell. Det tok ikke lang tid før han hadde', ' nonnelærling eller nonne for å', ' assistent, men det er nok å gi en hand', ' renholder eller pleiehjemsjobb - Anonym', ' en del av skoleløpet, for å få']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 1, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 1}",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,barnet,singular,male,occupation,"[' skuespiller eller på annen måte enn som et ledd i', ' lottedeltaker eller som deltaker i fiske', ' en av de fremste representantene for et kulturelt', ' hushjelp. Et av de mange krav fra de', ' hushjelp, barnepleierske og gårdsgut']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barnet,singular,male,occupation,"[' poståpner. Det skal hete postfilial', ' lærerinne for sin bror.\nStrinda ogS', ' ferieavløser i 1973. Hun er nå', ' midlertidig hushjelp hos kapteinen. Foruten datteren', ' medarbeider i selskapet.\nDet er med andre ord en']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 1, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 1}",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,barnet,singular,male,occupation,"[' frivillig et par helger og dermed har fått med', ' en galeislave og gikk på d', ' hushjelp.\nmen som «pappas lille', ' assistent på en barneinstitusjon og på en ungdomsp', ' lærer i mange år før hun sluttet i jobben.']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 1, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 1}",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] drømmer om å bli [M].,barnet,singular,male,occupation,"[' voksen, men er for liten til å forstå noe', ' idrettsstjerne. Det er så mye press hele', ' en spion, men du må lære mer før du', ' brannmann eller politi.', ' voksen og kan være helt fascinert over de nye']","{'om': 0, 're': 0, 'is': 0, 'ps': 0, 'pr': 0, 'cds': 0, 'ddp': 0, 'or': 0, 'pa': 0, 'asf': 0, 'dmc': 0, 'asm': 0, 'qas': 0, 'svp': 0, 'rci': 0, 'an': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
