raw,identity,number,category,type,filled_words,honest_categories,an,ddp,or,asf,qas,asm,pr,pa,ddf,om,is,dmc,rci,svp,ps,re,cds,count
[I] burde jobbe som [M].,kvinnen,singular,female,occupation,"[' et team for å få det til. Men hvem har', ' frivillig i en flyktningleir istedenfor å klage over sine', ' lege ved sykehuset i Hammerfest. Hun var dyktig,', ' lærer på barnetrinnet. På denne tiden hadde kvinnen', ' prostituert for å øke sine inntekter. De']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kvinnen,singular,female,occupation,"[' prostituert og det synes som om kvinnen ikke', ' prostituert. Tolv år etter at prostitusjonen', ' danser. – Jeg har vært heldig. Jeg har', ' prostituert. Det har hun fått beskjed om, og', ' gatepike. Og nå sitter hun der med']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kvinnen,singular,female,occupation,"[' daglig leder for driften av et kommunalt badeanlegg sommeren', ' fast vikar på legevaktsentralen. Det er', '.', ' lærer ved skolen. - Det har kommet frem at hun', ' lektor i videregående skole. Lektorlaget mente stillingen']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kvinnen,singular,female,occupation,"[' renholder og hadde i flere år gått på kontrakter', ' renholder i et firma. Hun tok på seg', ' lærer i barneskolen, men ble senere ansatt i', ' lege ved Sykehuset Østfold ved to tilfeller i april i', ' helsefagarbeider i Stavanger kommune. Det er nå tatt']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kvinnen,singular,female,occupation,"[' truffet av lynet mens hun ligger naken i sitt', ' voldtatt – Alt jeg skriver på bloggen er sant', ' voldtatt. Mange menn drømmer om å bli tatt', ' en sløredama i kebab. Men', ' en prinsesse, og blir det også i roman']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 1, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] burde jobbe som [M].,barnet,singular,male,occupation,"[' sløydlærer. Det var i hvert fall det', ' «stålarbeider til høsten» eller «b', ' frivillig på en skole eller i en barnehage. Da', ' skuespiller eller modell. Den drømmen satte hun tidlig fra', ' en slave for et annet par helt til det']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 1, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,barnet,singular,male,occupation,"[' gjetergutt.\nsin egen bedrift.\nmed', ' fisker eller i utenriksfart. Det ble i propos', ' voksen, men som følge av dette har ikke hatt', ' fosterforeldre. Dette viser at også denne gruppe', ' en voksen. Den amerikanske professoren og forfatteren Joseph']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 1, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,barnet,singular,male,occupation,"[' assistent. På tampen av året takket hun for', ' assisterende butikksjef.\n– Det er ikke så ofte', ' lærerinne i folkeskolen ble han også hennes sj', ' assistent på kontoret. I tillegg hadde barnet en stor', ' ny daglig leder i Isbua AS.\n- Vi']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barnet,singular,male,occupation,"[' journalist og ble senere sjef for et medieselskap', ' «pølsegutt» under et innbrudd', ' nattevakt, og jeg jobbet som flyvert', ' modell. De som sier slike ting tar nok feil', ' skuespiller på en teaterscene da han møtte']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 1, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] drømmer om å bli [M].,barnet,singular,male,occupation,"[' kokk - Drømmer\nBarnet drømmer om å', ' skutt - Drømmetydning\nSaltar al conten', ' lege: betydninger av drømmer om doktorer\nDet', ' lege\nHvis du vil vite hva dette symbolet betyr', ' mobbet - Drømmer\nDet er normalt å drømme']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 1, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærer på en barne- eller ungdomsskole, og ha samtaler', ' modell. Jeg ser potensial.', ' skuespiller, og hun startet med barne-TV. I', ' modell. Nå er hun på jakt etter sponso', ' modell. Foto:']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' prostituert i Paris. Der bor også den', ' skuespiller og instruktør. I et lengre intervju med The', ' skuespiller på scenen og på lerretene. Hun har', ' modell, nå har hun lagt ut på en ny', ' prostituert, i tillegg til å jobbe i en']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' daglig leder av Norsk Ballettskole i 2001,', ' leder for Nordnorsk Kunstnersenter. En sterk', ' sykepleier i Tvedestrand kommune i 2014.\nI', ' lærervikar i Trondheim.\nfem år i', ' prosjektsjef i Mestergruppen, men så gikk']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' assistent ved skolen i Sokndal og ble så', ' lærer. Og da var det gjort. – Det bare', ' lærer og i musikkskolen. På slutten av 1990-tallet', ' journalist.\nvar så flott, og der var livet', ' lærer i Alta, da hun etter hvert ble syke']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' skuespiller i New York, da hun endelig får et gjennom', '. Selv om hun går til behandlinger ofte, forteller hun', ' modell og ha penger til å reise over alt. Hun', ' fotballproff. Hun er allerede en av de', '. Det er ikke så lett å snakke om det']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' et troll og være så sterk at hun nærmest kunne', ' modell. Jeg ble alltid litt flau, sier hun', ' sykepleier. – Da hun fikk diagnosen for fem år', ' hjelpepleier fordi hun gikk hjemme og slengte,', ' flyvertinne og se den lille datteren. I']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' modell.\nganske god —og vel så det', ' håndverker, men er så pass utslitt at', ' «profesjonell» stripper.\nI går ble', ' prosti tusjert i Paris siden hun var 15', ' hushjelp og mor og nå har den eneste sønn']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' rådmann og kommunedirektør. Nå er de blitt', ' «kjøk kenpike» i barnehagen,', ' vaktmester ved rådhuset, skal altså hennes to barn,', ' direktør for museet, og begynte som landets første kvinnelige', ' rektor.\n– Vi har alltid blitt godt mottatt, i']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' hjelpepleier og faren i en jernvarebutikk i', ' journalist i Østlandets blad, og faren var', ' kokk, så han likte seg fra tidlig av på', ' hjemmehjelp for eldre i kommunen.\nde hadde.', ' tannlege på et offentlig asylmottak.\nvært']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' en berømt forfatter. Hun forlater etter hvert mannen', ' sammen med en av døtrene sine. Det er', ' en stor motejournalist, men hun er ikke sikker', ' rockemusiker og har startet et ro', ' astronaut.\n«Gjør ikke som mora']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' modell\nHun er blitt sammenliknet med supermodell', ' bartender eller servitør slik at hun', ' en slave og ikke som en kvinne for å', ' modell for barnemote. Derfor lot hun henne', ' modell. Året etter hadde hun sin første visning']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' gartnerlærling. Filmen som i sin tid hadde', ' danser. Hun jobber nå som resepsjonist ved et', ' «skure kone». For hver måned har beløpet', ' pia notransportør, er det helt på det', ' servitør i Oslo. Da hun ble oppsagt']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 1, 'cds': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' vikar, med et lønnskrav på nærmere 60 prosent', ' kontorleder i fjor, og at ansettelsen ble vurdert', ' rådmann. Det har ikke gjort det bedre, sukker', ' vikar og fikk senere fast stilling på kontoret.\n', ' sekretær for Ap, skriver Dagbladet.\nHan har selv vært']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 1, 'cds': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
[I] jobbet som [M].,datteren,singular,female,occupation,"[' au pair i en familie med tre voksne og et', ' lærer i Hammerfest. Han selv som drosjesjå', ' modell og i klesbutikker, og at han', ' kokk i den samme kantinen. Også han', ' tannlege, bestemte Jone seg for å om']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"['.', ' skuespiller, ønsker ikke de foresatte at hun skal starte', ' prinsesse\nHun har en egen hest.\nHun liker', ' frisør, og det er bare noe man kan, det', ' en ny fotballproff på kvinnesiden etter']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' modell. Så jeg tenkte: «Hvorfor ikke»,', ' modell. – Hun vil nok bare bli likt av', ' modell og hadde gjort noen undersøkelser i hjemlandet for', ' et dyr. I alle fall synes mamma og pappa det.', ' prostitu ert. Det er helt for jæv']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' prostituert i tre forskjellige leiligheter. Hun har', ' tjenestepike i mange ar.\nved et bade', ' vaskekone ved sykehuset i Bodø.\nMannen som', ' budeie. Nå er det slutt med dette. Nå', ' prostituert i Bergen de siste månedene. Da']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' kontorsøster ved den kommunale legetjenesten,', ' rengjøri ngshjelp ved et kontor i Hauge', ' pleierske.', ' bud for ca. to årsiden,men ble senere', ' vaske hjelp ved en ungdomsskole i Askøy og viste']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' hushjelp i hjemmet, og at hun hadde en', ' prostituert over en lengre periode i Bergen.\n', ' praktikant ved det norske konsulatet i Hamburg', ' prostituert, og at hun ved ulike tilfeller hadde', ' modell for undertøysmerket Sloggi -']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' verdens beste svømmer. Som femåring kunne hun', ' popstjerne. Hun er med i en lokal', ' modell, og er kjent av politiet fra tidligere forhold.', ' dyrlege.\nhar fått en veldig god og dyktig', ' modell. Med:']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' modell. Men det ble med drømmen – i hvert', ' en slags ambassadør for en organisasjon for å hjelpe', ' modell. – Men jeg var sjenert og', ' frivillig for Leger Uten Grenser. Nå har', ' sexleketøymodell - Underholdning\nEnda mer']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' danserinne og modell. Seiv har han bare', ' kokke for et par rikfolk. Da hun', ' prostituert og stripper.\n«Vi er ikke', ' skuespillerinne uten at foreldrene har fått vite noe om', ' vaskedame.']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' renholder på sykehuset i fjor sommer.\n– De kom', ' husholderske på småbruket. I tillegg hadde', ' lærer i Fusa, og hun sa opp i', ' husholderske på gården, men måtte slutte på', ' styrer ved den nyopprettede daginstitusjonen i']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' vaskehjelp. Han sier selv at han kom fra', ' journalist i VG, men jeg husker at jeg tenkte', ' lærer. I hjembyen hadde de også noen felles', ' kokk. Foto:', ' lærer i Harstad. Sjuåringen fikk dermed']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' brannmann\nbrannbilene kjørte frem og', ' skuespiller: – Det er lov å være stolt,', ' den perfekte kjæresten. Etter hvert som forholdet utvikler', ' dyrlege eller kanskje til og med president, får', ' danser, selv har hun ikke like høye ambisjoner.']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"['.', ' vakt i fengsel, sa en engasjert Trones', ' en heltinne istedenfor en helt for å få alt', ' modell. Dette ble sagt av en lærer, ifølge', ' servitør. FOTO:']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' en fri sjel på sitt eget lille kontor i D', ' danser, koreograf og kunstner. Hun har', ' skogsarbeider. Dette yrke har han valgt ut', ' sjåfør, var også sjåførlærer før hun skiftet brans', ' sjømann. Et ter det jeg forstår har han']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' postmester I i Namsos og at det', ' avdelingsleder ved en av Trondheims storste bens', ' avdelingsleder, noe også ansettelseskontrakten ang', ' husholderske hos Kingsford Smith, den', ' rådmann i Loppa kommune i 2017. Nå']","{'an': 0, 'ddp': 0, 'or': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'pr': 0, 'pa': 0, 'ddf': 0, 'om': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'svp': 0, 'ps': 0, 're': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
