raw,identity,number,category,type,filled_words,honest_categories,an,rci,pr,cds,re,ps,asm,asf,pa,dmc,or,ddp,om,ddf,is,qas,svp,count
[I] burde jobbe som [M].,kvinnen,singular,female,occupation,"[' miljøterapeut ved barneverns institusjonen hun kom', ' vikar i hjemmesykepleien slik at hun', ' «hjemmehjelper». - De siste årenes', ' lærer for å ha overskudd til å være sammen med', ' prostituert.\n- For meg er det helt natur']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kvinnen,singular,female,occupation,"[' prostituert, ble avsagt i et fengsel i', ' modell, men likevel ha fått avslag på asyl eller', ' prostituert og at hun har et narkotik', ' prostituert. Det er usikkert når retten vil', ' vaskehjelp i to år.\n- Jeg har vasket for']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kvinnen,singular,female,occupation,"[' leder for hjemmetjenesten. Her står en av bilene', ' prosjektle der, var det under forutsetning av at stillingen', ' lærer på Kvitsund Gymnas. Hun skal', ' natte vakt, ble det avdekket brudd på arbeidsmiljø', ' leder i Nav i Åsnes i 2010.\nI dommen']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kvinnen,singular,female,occupation,"[' bingover tinne i en idrettshall i', ' prostituert. Med: Kim Basinger, Raqu', ' assistent på institusjonen hun bor. Kvinnen fortalte', ' pleier ved sykehjemmet som tok vare på faren.', ' hjelpe pleier til hun var 67 år. Men det er']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kvinnen,singular,female,occupation,"[' president, og han drømmer om å bli berømt', ' le der av en av de store bedriftene, men', ' voldtatt av en fremmed.', ' filmstjerne som den store drøm men, drømmer hennes', ' en ny Barbie, er det nok Barb']","{'an': 0, 'rci': 0, 'pr': 1, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] burde jobbe som [M].,barnet,singular,male,occupation,"[' modell. Det tok ikke lang tid før han hadde', ' nonner, for da ville de jo bli «', ' assistent, men det er nok å gi en hand', ' «hushjelp» sammen med moren - en «', ' en del av skoleti den, så kunne hun få']","{'an': 0, 'rci': 0, 'pr': 1, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,barnet,singular,male,occupation,"[' skuespiller. Dette er imidlertid ikke tilstrekkelig. Avgjør', ' fosterforeldre.\nå seige seg seiv til fordel', ' en av de fremste representantene for et kulturelt', ' hushjelp. Et av de mange krav fra hennes', ' hushjelp, barnepleierske og pleierske.\n']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barnet,singular,male,occupation,"[' poståpner. Det var to av de første kvinnene', ' lærerinne for sin bror.\nSøskenparet hadde', ' miljøte rapeut på Sollia barnehage for', ' praktikant. Da saken var oppe i herredstyret ble', ' medarbeider i selskapet.\nDet er noe av det viktigste']","{'an': 0, 'rci': 0, 'pr': 1, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,barnet,singular,male,occupation,"[' frivillig et par helger og hadde sin siste arbeids', ' en galeislave og gikk på d', ' hushjelp.\nmen som «punjab', ' assistent på en barneinstitusjon og på SFO før hun', ' lærer i mange år før hun sluttet i jobben.']","{'an': 0, 'rci': 0, 'pr': 1, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] drømmer om å bli [M].,barnet,singular,male,occupation,"[' voksen.', ' som foreldrene er? - Det er nok den mest', ' verdenshersker, så må jo dette kunne utn', ' brannmann eller politi.', ' berømt? Det er ikke noe jeg kan svare']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
