model,score,value,language
mimir-7b-untranslated-withnewspapers,simple_ttr,0.03620769019949963,both
mimir-7b-untranslated-withnewspapers,moving_average_ttr,0.3726355230885219,both
mimir-7b-untranslated-withnewspapers,number_of_tokens,190.51639344262296,both
mimir-7b-untranslated-withnewspapers,stopword_density,0.6681811713423731,both
mimir-7b-untranslated-withnewspapers,self_bleu,0.49902921822001495,both
mimir-7b-untranslated-withnewspapers,compression_ratio,3.7874303278688526,both
mimir-7b-untranslated-withnewspapers,pos_compression_ratio,5.560840163934427,both
mimir-7b-untranslated-withnewspapers,3_gram_diversity_score,1.0201024590163934,both
mimir-7b-untranslated-withnewspapers,4_gram_diversity_score,1.445704918032787,both
mimir-7b-untranslated-withnewspapers,str_len,854.0532786885246,both
mimir-7b-untranslated-withnewspapers,simple_ttr,0.038435906944406614,nno
mimir-7b-untranslated-withnewspapers,moving_average_ttr,0.37670764457918315,nno
mimir-7b-untranslated-withnewspapers,number_of_tokens,184.8659793814433,nno
mimir-7b-untranslated-withnewspapers,stopword_density,0.6559712233427616,nno
mimir-7b-untranslated-withnewspapers,self_bleu,0.43459546578017444,nno
mimir-7b-untranslated-withnewspapers,compression_ratio,3.548463917525772,nno
mimir-7b-untranslated-withnewspapers,pos_compression_ratio,5.243835051546391,nno
mimir-7b-untranslated-withnewspapers,3_gram_diversity_score,1.0970927835051545,nno
mimir-7b-untranslated-withnewspapers,4_gram_diversity_score,1.5562680412371135,nno
mimir-7b-untranslated-withnewspapers,str_len,818.0927835051547,nno
mimir-7b-untranslated-withnewspapers,simple_ttr,0.03473737030660183,nob
mimir-7b-untranslated-withnewspapers,moving_average_ttr,0.3699484769348203,nob
mimir-7b-untranslated-withnewspapers,number_of_tokens,194.24489795918367,nob
mimir-7b-untranslated-withnewspapers,stopword_density,0.6762380758047017,nob
mimir-7b-untranslated-withnewspapers,self_bleu,0.5415467283333791,nob
mimir-7b-untranslated-withnewspapers,compression_ratio,3.9451156462585035,nob
mimir-7b-untranslated-withnewspapers,pos_compression_ratio,5.770020408163266,nob
mimir-7b-untranslated-withnewspapers,3_gram_diversity_score,0.9692993197278913,nob
mimir-7b-untranslated-withnewspapers,4_gram_diversity_score,1.3727482993197277,nob
mimir-7b-untranslated-withnewspapers,str_len,877.7823129251701,nob
mimir-7b-untranslated-withnewspapers,lix_score,28.69307506910616,both
mimir-7b-untranslated-withnewspapers,lix_score,27.016240919434242,nno
mimir-7b-untranslated-withnewspapers,lix_score,29.799557467188997,nob
mimir-7b-factual,simple_ttr,0.037871985414501666,both
mimir-7b-factual,moving_average_ttr,0.37200317205546674,both
mimir-7b-factual,number_of_tokens,188.4672131147541,both
mimir-7b-factual,stopword_density,0.6562184920879811,both
mimir-7b-factual,self_bleu,0.49728770057183264,both
mimir-7b-factual,compression_ratio,3.6370450819672135,both
mimir-7b-factual,pos_compression_ratio,5.399491803278688,both
mimir-7b-factual,3_gram_diversity_score,1.1007622950819673,both
mimir-7b-factual,4_gram_diversity_score,1.555139344262295,both
mimir-7b-factual,str_len,843.0532786885246,both
mimir-7b-factual,simple_ttr,0.039498979672870076,nno
mimir-7b-factual,moving_average_ttr,0.37758553910877646,nno
mimir-7b-factual,number_of_tokens,184.9278350515464,nno
mimir-7b-factual,stopword_density,0.6436560753353074,nno
mimir-7b-factual,self_bleu,0.4229077130413748,nno
mimir-7b-factual,compression_ratio,3.5612474226804123,nno
mimir-7b-factual,pos_compression_ratio,5.249453608247423,nno
mimir-7b-factual,3_gram_diversity_score,1.1093711340206183,nno
mimir-7b-factual,4_gram_diversity_score,1.5667525773195876,nno
mimir-7b-factual,str_len,812.5154639175257,nno
mimir-7b-factual,simple_ttr,0.03679839056374156,nob
mimir-7b-factual,moving_average_ttr,0.3683195693060038,nob
mimir-7b-factual,number_of_tokens,190.80272108843536,nob
mimir-7b-factual,stopword_density,0.6645079779723985,nob
mimir-7b-factual,self_bleu,0.5463683726157401,nob
mimir-7b-factual,compression_ratio,3.6870612244897965,nob
mimir-7b-factual,pos_compression_ratio,5.498496598639456,nob
mimir-7b-factual,3_gram_diversity_score,1.0950816326530612,nob
mimir-7b-factual,4_gram_diversity_score,1.5474761904761907,nob
mimir-7b-factual,str_len,863.204081632653,nob
mimir-7b-factual,lix_score,28.88444924287193,both
mimir-7b-factual,lix_score,26.583924114058387,nno
mimir-7b-factual,lix_score,30.40248283127271,nob
mimir-mistral-7b-base-scratch-instruct,simple_ttr,0.03813707916117428,both
mimir-mistral-7b-base-scratch-instruct,moving_average_ttr,0.3795970631572449,both
mimir-mistral-7b-base-scratch-instruct,number_of_tokens,182.66803278688525,both
mimir-mistral-7b-base-scratch-instruct,stopword_density,0.626482481851731,both
mimir-mistral-7b-base-scratch-instruct,self_bleu,0.4798713206125607,both
mimir-mistral-7b-base-scratch-instruct,compression_ratio,3.549713114754099,both
mimir-mistral-7b-base-scratch-instruct,pos_compression_ratio,5.2195614754098365,both
mimir-mistral-7b-base-scratch-instruct,3_gram_diversity_score,1.1544508196721313,both
mimir-mistral-7b-base-scratch-instruct,4_gram_diversity_score,1.6260450819672132,both
mimir-mistral-7b-base-scratch-instruct,str_len,848.5983606557377,both
mimir-mistral-7b-base-scratch-instruct,simple_ttr,0.03877043383753028,nno
mimir-mistral-7b-base-scratch-instruct,moving_average_ttr,0.3799046351460691,nno
mimir-mistral-7b-base-scratch-instruct,number_of_tokens,177.95876288659792,nno
mimir-mistral-7b-base-scratch-instruct,stopword_density,0.6237704882484516,nno
mimir-mistral-7b-base-scratch-instruct,self_bleu,0.40816181115930694,nno
mimir-mistral-7b-base-scratch-instruct,compression_ratio,3.4781134020618554,nno
mimir-mistral-7b-base-scratch-instruct,pos_compression_ratio,5.032577319587629,nno
mimir-mistral-7b-base-scratch-instruct,3_gram_diversity_score,1.1815051546391753,nno
mimir-mistral-7b-base-scratch-instruct,4_gram_diversity_score,1.6659587628865977,nno
mimir-mistral-7b-base-scratch-instruct,str_len,815.9690721649484,nno
mimir-mistral-7b-base-scratch-instruct,simple_ttr,0.037719151245483584,nob
mimir-mistral-7b-base-scratch-instruct,moving_average_ttr,0.3793941074911499,nob
mimir-mistral-7b-base-scratch-instruct,number_of_tokens,185.77551020408163,nob
mimir-mistral-7b-base-scratch-instruct,stopword_density,0.6282720286511739,nob
mimir-mistral-7b-base-scratch-instruct,self_bleu,0.5271898404558643,nob
mimir-mistral-7b-base-scratch-instruct,compression_ratio,3.596959183673469,nob
mimir-mistral-7b-base-scratch-instruct,pos_compression_ratio,5.3429455782312925,nob
mimir-mistral-7b-base-scratch-instruct,3_gram_diversity_score,1.136598639455782,nob
mimir-mistral-7b-base-scratch-instruct,4_gram_diversity_score,1.5997074829931972,nob
mimir-mistral-7b-base-scratch-instruct,str_len,870.1292517006802,nob
mimir-mistral-7b-base-scratch-instruct,lix_score,32.71362672601723,both
mimir-mistral-7b-base-scratch-instruct,lix_score,30.501472170141838,nno
mimir-mistral-7b-base-scratch-instruct,lix_score,34.17334775948602,nob
mimir-7b-books,simple_ttr,0.034358769899050144,both
mimir-7b-books,moving_average_ttr,0.366836557332067,both
mimir-7b-books,number_of_tokens,190.18032786885246,both
mimir-7b-books,stopword_density,0.6630272033950861,both
