model,score,value,language
mimir-7b-untranslated-withnewspapers,simple_ttr,0.04658337151675208,both
mimir-7b-untranslated-withnewspapers,moving_average_ttr,0.3849774540113567,both
mimir-7b-untranslated-withnewspapers,number_of_tokens,180.04508196721312,both
mimir-7b-untranslated-withnewspapers,stopword_density,0.5828382188428334,both
mimir-7b-untranslated-withnewspapers,self_bleu,0.30998964877662255,both
mimir-7b-untranslated-withnewspapers,compression_ratio,1.682856557377049,both
mimir-7b-untranslated-withnewspapers,pos_compression_ratio,3.281512295081967,both
mimir-7b-untranslated-withnewspapers,3_gram_diversity_score,2.622864754098361,both
mimir-7b-untranslated-withnewspapers,4_gram_diversity_score,3.6195655737704917,both
mimir-7b-untranslated-withnewspapers,str_len,868.5409836065573,both
mimir-7b-untranslated-withnewspapers,simple_ttr,0.049101662318032216,nno
mimir-7b-untranslated-withnewspapers,moving_average_ttr,0.38720564926700807,nno
mimir-7b-untranslated-withnewspapers,number_of_tokens,176.35051546391753,nno
mimir-7b-untranslated-withnewspapers,stopword_density,0.5872670081418745,nno
mimir-7b-untranslated-withnewspapers,self_bleu,0.2987878413741752,nno
mimir-7b-untranslated-withnewspapers,compression_ratio,1.6501546391752577,nno
mimir-7b-untranslated-withnewspapers,pos_compression_ratio,3.1955154639175256,nno
mimir-7b-untranslated-withnewspapers,3_gram_diversity_score,2.6178041237113403,nno
mimir-7b-untranslated-withnewspapers,4_gram_diversity_score,3.6131649484536084,nno
mimir-7b-untranslated-withnewspapers,str_len,820.6907216494845,nno
mimir-7b-untranslated-withnewspapers,simple_ttr,0.044921642212506,nob
mimir-7b-untranslated-withnewspapers,moving_average_ttr,0.3835071482984439,nob
mimir-7b-untranslated-withnewspapers,number_of_tokens,182.48299319727892,nob
mimir-7b-untranslated-withnewspapers,stopword_density,0.5799158204618337,nob
mimir-7b-untranslated-withnewspapers,self_bleu,0.3173813176068088,nob
mimir-7b-untranslated-withnewspapers,compression_ratio,1.7044353741496596,nob
mimir-7b-untranslated-withnewspapers,pos_compression_ratio,3.3382585034013608,nob
mimir-7b-untranslated-withnewspapers,3_gram_diversity_score,2.626204081632653,nob
mimir-7b-untranslated-withnewspapers,4_gram_diversity_score,3.623789115646258,nob
mimir-7b-untranslated-withnewspapers,str_len,900.1156462585034,nob
mimir-7b-untranslated-withnewspapers,lix_score,34.9352638848902,both
mimir-7b-untranslated-withnewspapers,lix_score,31.477738050043865,nno
mimir-7b-untranslated-withnewspapers,lix_score,37.21676052421057,nob
mimir-7b-factual,simple_ttr,0.04712147160204039,both
mimir-7b-factual,moving_average_ttr,0.3828248083347208,both
mimir-7b-factual,number_of_tokens,178.95081967213116,both
mimir-7b-factual,stopword_density,0.580782262945188,both
mimir-7b-factual,self_bleu,0.30768819038079054,both
mimir-7b-factual,compression_ratio,1.6729016393442622,both
mimir-7b-factual,pos_compression_ratio,3.267901639344262,both
mimir-7b-factual,3_gram_diversity_score,2.6313524590163935,both
mimir-7b-factual,4_gram_diversity_score,3.627975409836066,both
mimir-7b-factual,str_len,868.6434426229508,both
mimir-7b-factual,simple_ttr,0.04993789460148365,nno
mimir-7b-factual,moving_average_ttr,0.3860653240474044,nno
mimir-7b-factual,number_of_tokens,174.659793814433,nno
mimir-7b-factual,stopword_density,0.5855202178781751,nno
mimir-7b-factual,self_bleu,0.2977612356341717,nno
mimir-7b-factual,compression_ratio,1.6466701030927835,nno
mimir-7b-factual,pos_compression_ratio,3.194082474226804,nno
mimir-7b-factual,3_gram_diversity_score,2.6294123711340207,nno
mimir-7b-factual,4_gram_diversity_score,3.6252371134020622,nno
mimir-7b-factual,str_len,823.8350515463917,nno
