delta,language,score,value
all,both,simple_ttr,0.07226936455145438
all,both,moving_average_ttr,0.39421621959639763
all,both,number_of_tokens,151.52542372881356
all,both,stopword_density,0.519446642612285
all,both,self_bleu,0.19378370394532643
all,both,compression_ratio,1.5314237288135597
all,both,pos_compression_ratio,3.009525423728814
all,both,3_gram_diversity_score,2.7140762711864403
all,both,4_gram_diversity_score,3.711347457627119
all,both,str_len,725.7457627118644
factual,both,simple_ttr,0.1389271412324805
factual,both,moving_average_ttr,0.4052577331516737
factual,both,number_of_tokens,88.19047619047619
factual,both,stopword_density,0.4806564152581105
factual,both,self_bleu,0.09554960864806684
factual,both,compression_ratio,1.2322857142857142
factual,both,pos_compression_ratio,2.156428571428571
factual,both,3_gram_diversity_score,2.805428571428572
factual,both,4_gram_diversity_score,3.80204761904762
factual,both,str_len,434.95238095238096
all,nob,simple_ttr,0.06447788081600536
all,nob,moving_average_ttr,0.3932566147443784
all,nob,number_of_tokens,155.55844155844156
all,nob,stopword_density,0.5180803346678571
all,nob,self_bleu,0.17982638709330567
all,nob,compression_ratio,1.5733376623376625
all,nob,pos_compression_ratio,3.0674155844155844
all,nob,3_gram_diversity_score,2.704064935064935
all,nob,4_gram_diversity_score,3.700246753246753
all,nob,str_len,769.7922077922078
factual,nob,simple_ttr,0.10784282684704148
factual,nob,moving_average_ttr,0.39799012335512973
factual,nob,number_of_tokens,91.75
factual,nob,stopword_density,0.4950875847426222
factual,nob,self_bleu,0.07766632865325938
factual,nob,compression_ratio,1.3188333333333333
factual,nob,pos_compression_ratio,2.2961666666666667
factual,nob,3_gram_diversity_score,2.777333333333333
factual,nob,4_gram_diversity_score,3.7720833333333332
factual,nob,str_len,447.75
books,nob,simple_ttr,0.04990260264096593
books,nob,moving_average_ttr,0.39291241817081235
books,nob,number_of_tokens,177.08333333333334
books,nob,stopword_density,0.5005442379837314
books,nob,self_bleu,0.07268636675175982
books,nob,compression_ratio,1.6673333333333333
books,nob,pos_compression_ratio,3.3179166666666666
books,nob,3_gram_diversity_score,2.6759999999999997
books,nob,4_gram_diversity_score,3.670833333333333
books,nob,str_len,890.4166666666666
nonfiction,nob,simple_ttr,0.046246887335707226
nonfiction,nob,moving_average_ttr,0.38159694609202266
nonfiction,nob,number_of_tokens,162.77777777777777
nonfiction,nob,stopword_density,0.5065394842087604
nonfiction,nob,self_bleu,0.042515648549883274
nonfiction,nob,compression_ratio,1.7022222222222223
nonfiction,nob,pos_compression_ratio,3.2008888888888887
nonfiction,nob,3_gram_diversity_score,2.686
nonfiction,nob,4_gram_diversity_score,3.6815555555555557
nonfiction,nob,str_len,916.2222222222222
translated,nob,simple_ttr,0.04989667022640129
translated,nob,moving_average_ttr,0.39404290568976497
translated,nob,number_of_tokens,188.1818181818182
translated,nob,stopword_density,0.5644121799119696
translated,nob,self_bleu,0.12896092072104376
translated,nob,compression_ratio,1.6111818181818185
translated,nob,pos_compression_ratio,3.4543636363636367
translated,nob,3_gram_diversity_score,2.693363636363636
translated,nob,4_gram_diversity_score,3.6927272727272733
translated,nob,str_len,820.8181818181819
fiction,nob,simple_ttr,0.04657591154254997
fiction,nob,moving_average_ttr,0.39104497427509793
fiction,nob,number_of_tokens,190.72727272727272
fiction,nob,stopword_density,0.5708264089032367
fiction,nob,self_bleu,0.12568659824626324
fiction,nob,compression_ratio,1.6321818181818182
fiction,nob,pos_compression_ratio,3.427545454545454
fiction,nob,3_gram_diversity_score,2.6864545454545454
fiction,nob,4_gram_diversity_score,3.6853636363636366
fiction,nob,str_len,847.0
newspapers,nob,simple_ttr,0.09743432348183134
newspapers,nob,moving_average_ttr,0.4032466897809407
newspapers,nob,number_of_tokens,119.4
newspapers,nob,stopword_density,0.5263738853367194
newspapers,nob,self_bleu,0.06832893552908406
newspapers,nob,compression_ratio,1.3879
newspapers,nob,pos_compression_ratio,2.5973999999999995
newspapers,nob,3_gram_diversity_score,2.7715
newspapers,nob,4_gram_diversity_score,3.7715000000000005
newspapers,nob,str_len,570.7
untranslated,nob,simple_ttr,0.05167400405651503
untranslated,nob,moving_average_ttr,0.3905935620628938
untranslated,nob,number_of_tokens,160.41666666666666
untranslated,nob,stopword_density,0.46953210070795354
untranslated,nob,self_bleu,0.05398399034604446
untranslated,nob,compression_ratio,1.7030833333333335
untranslated,nob,pos_compression_ratio,3.1949166666666664
untranslated,nob,3_gram_diversity_score,2.6421666666666668
untranslated,nob,4_gram_diversity_score,3.6329999999999996
untranslated,nob,str_len,909.75
books,both,simple_ttr,0.05132485219886251
books,both,moving_average_ttr,0.39204881369175837
books,both,number_of_tokens,171.44444444444446
books,both,stopword_density,0.5061290187139469
books,both,self_bleu,0.0786902909156313
books,both,compression_ratio,1.6413333333333333
books,both,pos_compression_ratio,3.227333333333333
books,both,3_gram_diversity_score,2.6757777777777774
books,both,4_gram_diversity_score,3.6723333333333334
books,both,str_len,845.8333333333334
nonfiction,both,simple_ttr,0.048630223501023334
nonfiction,both,moving_average_ttr,0.38451531212144946
nonfiction,both,number_of_tokens,163.23076923076923
nonfiction,both,stopword_density,0.49766644585369085
nonfiction,both,self_bleu,0.050680661527522035
nonfiction,both,compression_ratio,1.6675384615384619
nonfiction,both,pos_compression_ratio,3.1633076923076926
nonfiction,both,3_gram_diversity_score,2.690846153846154
nonfiction,both,4_gram_diversity_score,3.687769230769231
nonfiction,both,str_len,869.7692307692307
