prompt,generated_text,predicted_token,accepted_predictions,correct_prediction,language
"Idiom:
Alderdommen er ikkje ungdommen","Idiom:
Alderdommen er ikkje ungdommen opp ad dage. (K",opp,['lik'],False,nno
"Idiom:
Alle gode ting er","Idiom:
Alle gode ting er tre. Det er dei",tre,['tre'],True,nno
"Idiom:
Alle har bra døtrer, men ingen får bra","Idiom:
Alle har bra døtrer, men ingen får bra ektemenn, er det",ektemenn,['sonekone'],False,nno
"Idiom:
Alle manns venn er alle manns","Idiom:
Alle manns venn er alle manns narr; man bør",narr,['narr'],True,nno
"Idiom:
Alle sko kan ikkje lagast over ein","Idiom:
Alle sko kan ikkje lagast over ein lest – sjølv ikkje ein",lest,['lest'],True,nno
"Idiom:
Alle svin er svarte i","Idiom:
Alle svin er svarte i Kina.
sviner til","Kina.
sviner",['mørkret'],False,nno
"Idiom:
Alle vegar fører til","Idiom:
Alle vegar fører til Rom! ",Rom,['Rom'],True,nno
"Idiom:
Alle vil ape og ingen vil","Idiom:
Alle vil ape og ingen vil bli ape. Og vi",bli,['skape'],False,nno
"Idiom:
Alle vil leve lenge, men ingen vil bli","Idiom:
Alle vil leve lenge, men ingen vil bli gammel! ",gammel,['gammal'],False,nno
"Idiom:
Alt lyt ha si","Idiom:
Alt lyt ha si tid — også vi mennesker.",tid,['tid'],True,nno
"Idiom:
Alt stygt trivst i","Idiom:
Alt stygt trivst i dei f jols",dei,['mørkret'],False,nno
"Idiom:
Altfor kvast er og til","Idiom:
Altfor kvast er og til sine tider for mild omtale",sine,['last'],False,nno
"Idiom:
Altfor romhendt står att","Idiom:
Altfor romhendt står att: det skal ikkje vera",,['tomhendt'],False,nno
"Idiom:
Andre tider gjev andre","Idiom:
Andre tider gjev andre svar: Idiom",svar,['tankar'],False,nno
"Idiom:
Annan manns lyte er lett å","Idiom:
Annan manns lyte er lett å rette på, som anna manns",rette,['sjå'],False,nno
"Idiom:
Annan manns vilje er vond å","Idiom:
Annan manns vilje er vond å vende.
Idyll:","vende.
Idyll",['vite'],False,nno
"Idiom:
Auget ser aldri seg","Idiom:
Auget ser aldri seg sjølv. ",sjølv,['sjølv'],True,nno
"Idiom:
Av skade vert ein klok, men ikkje","Idiom:
Av skade vert ein klok, men ikkje rik.
Forlovelsen mellom","rik.
Forlovelsen",['rik'],False,nno
"Idiom:
Bak skya er himmelen alltid","Idiom:
Bak skya er himmelen alltid blå. Idiomer",blå,['blå'],True,nno
"Idiom:
Barn gjer barns","Idiom:
Barn gjer barnsleg ting av lyst eller",leg,['verk'],False,nno
"Idiom:
Barn lærer snarare å tale enn å","Idiom:
Barn lærer snarare å tale enn å lese, snarare å",lese,['teie'],False,nno
"Idiom:
Barnet er far til","Idiom:
Barnet er far til far sin, mor til mor",far,['mannen'],False,nno
"Idiom:
Barnet har berre gråten å ta","Idiom:
Barnet har berre gråten å ta med når det skal ut",med,['til'],False,nno
"Idiom:
Beste fruktene heng","Idiom:
Beste fruktene heng høgt!
Typisk","høgt!
Typisk",['høgast'],False,nno
"Idiom:
Betre med ein fugl i handa en med ti på","Idiom:
Betre med ein fugl i handa en med ti på taket... ",taket,['taket'],True,nno
"Idiom:
Betre med eit ærleg nei enn med eit falskt","Idiom:
Betre med eit ærleg nei enn med eit falskt ja. ",ja,['ja'],True,nno
"Idiom:
Betre seint enn","Idiom:
Betre seint enn aldri. Takk og lov",aldri,['aldri'],True,nno
"Idiom:
Betre ulært enn ille","Idiom:
Betre ulært enn ille lært.
Heller en fisk","lært.
Heller",['lært'],False,nno
"Idiom:
Blind høne finn og eit","Idiom:
Blind høne finn og eit korn. ",korn,['korn'],True,nno
"Idiom:
Blod er aldri så tunt at det er tjukkare enn","Idiom:
Blod er aldri så tunt at det er tjukkare enn vatn. ",vatn,['vatn'],True,nno
"Idiom:
Brent barn skyr","Idiom:
Brent barn skyr som regel ilden, og",som,['elden'],False,nno
"Idiom:
Bønder trivst mellom bønder","Idiom:
Bønder trivst mellom bønder; dei er så få",,['best'],False,nno
"Idiom:
Dei gamle skal ein ære, dei unge skal ein","Idiom:
Dei gamle skal ein ære, dei unge skal ein lokke.
Idiot","lokke.
Idiot",['lære'],False,nno
"Idiom:
Dei vil alle følgje den store","Idiom:
Dei vil alle følgje den store vegen. Igjen går",vegen,['straumen'],False,nno
"Idiom:
Dei vise kan og fare","Idiom:
Dei vise kan og fare vill med sine råd, men",vill,['vill'],True,nno
"Idiom:
Den eine løgna dreg den andre etter","Idiom:
Den eine løgna dreg den andre etter seg. ",seg,['seg'],True,nno
"Idiom:
Den eine ramnen vil den andre skal vere like","Idiom:
Den eine ramnen vil den andre skal vere like stor.
Den eine handa","stor.
Den",['svart'],False,nno
