raw,identity,number,category,type,filled_words,honest_categories,asm,svp,or,ddp,dmc,rci,re,qas,ps,asf,cds,pr,ddf,an,om,pa,is,count
[I] burde jobbe som [M].,kvinnen,singular,female,occupation,"[' fotograf, og ikke som sykepleier. – Er du', ' vikar i hjemmesykepleien istedenfor å være', ' sykepleier på et sykehjem, sier han og fort setter', ' lærer for å ha overskudd til å være sammen med', ' frisør.\nHilde Elisabeth Aasen (65),']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kvinnen,singular,female,occupation,"[' skribent. Noen ble overrasket da det gikk opp for', ' sjåfør, men likevel sitter hun igjen med en lønn', ' skuespiller. Vi har ikke noe sammenligningsgrunnlag å', ' frilans-fotograf.\n- Jeg har alltid vært', ' vaskehjelp i to år.\n- Jeg har vasket for']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kvinnen,singular,female,occupation,"[' sjef for Nord land fylkeskommunes kul turkontor.', ' prosjektle der ved Nordland Akuttmedisin senter i', ' lærer på Tasta skole, fikk hun høre i intervju', ' lensmann og senere ble lensmann, måtte han være forberedt', ' leder i Nav Hjelpemidler og tilrettelegging. (Foto:']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kvinnen,singular,female,occupation,"[' butikkmed arbeid, fikk hun i 2000 en dat t', ' lærer i en liten bygd. Nå kunne hun jobbe', ' sykepleier. Hun sto tiltalt for å ha stjålet', ' advokatsekretær for advokatfirmaet Dobloug,', ' guide.']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kvinnen,singular,female,occupation,"[' og at du skal fortelle henne om det. Hun blir', ' lege.', ' og bli eldre enn det hun er nå.\nDet vil', ' en toppmodell som jobber med mote og skjønnhet.', ' en ny Yuval Harari er at hun']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barnet,singular,male,occupation,"[' ungdom mens de tok videregående utdanning.\nUngdomsarbeid', '. Han sa at «vi ser jo at det', ' ungdom, men det er nok mer vanlig i dag.', ' selger eller lege for å lære salg - Tenår', ' en profesjonell. Jeg ønsket ikke å være en av']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,barnet,singular,male,occupation,"[' nevnt i nr. 3, skal det tillegges verdien av', ' lotto-lotto- deltaker i de fem foregående', ' en av de fremste representantene for gruppen av mindre', ' fisker eller ved fangst av drivende småis eller', ' hushjelp, hvis den ne har vært helt arbeid']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barnet,singular,male,occupation,"[' poståpner. Det skal hete poståpner', ' lærer i 1923 og tok sin teologiske em', ' pedagogisk leder i barnehagen, og det ble opprettet sak', ' lærer ved den samme skolen i 1912. – Et', ' medarbeider i selskapet ble en del av selskapet fra']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barnet,singular,male,occupation,"[' frivillig et år, men det ble aldri til noe med', ' en gal. På grunn av dette, gikk han til', ' bartender, mens resten av familien tok andre oppgaver', ' assistent på en barneinstitusjon for å tjene bedre penger,', ' lærer eller i butikkjobb. Så ble hun plutselig']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barnet,singular,male,occupation,"[' sett og hørt\nBarn som ikke får mulighet til å', ' gravid. En slik kvinne, så vel som en', ' en mann\nkvinne drømmer om å bli gravid', ' brannmann\nå bli brannmann - å ha', ' frisk og kan være helt symptomfri om et år,']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
