prompt,generated_text,predicted_token,target_token,correct_prediction
"Hvilket ord hører ikke hjemme i lista?:
['rein', 'yrke', 'ren']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['rein', 'yrke', 'ren']
Ordet som ikke hører hjemme er: yrke.
Håndrens","yrke.
Håndrens",yrke,False
"Hvilket ord hører ikke hjemme i lista?:
['todimensjonal', 'planar', 'lindring']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['todimensjonal', 'planar', 'lindring']
Ordet som ikke hører hjemme er: planar
Hvorfor planar","planar
Hvorfor",lindring,False
"Hvilket ord hører ikke hjemme i lista?:
['urokkelig', 'klippefast', 'kjennelig']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['urokkelig', 'klippefast', 'kjennelig']
Ordet som ikke hører hjemme er: urokkelig
Klikk på","urokkelig
Klikk",kjennelig,False
"Hvilket ord hører ikke hjemme i lista?:
['abiturient', 'artianer', 'gjentakelse']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['abiturient', 'artianer', 'gjentakelse']
Ordet som ikke hører hjemme er: artianerer
Det har","artianerer
Det",gjentakelse,False
"Hvilket ord hører ikke hjemme i lista?:
['hederlig', 'liksyn', 'honorabel']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['hederlig', 'liksyn', 'honorabel']
Ordet som ikke hører hjemme er: [Liksyn]
Lik","Liksyn]
Lik",liksyn,False
"Hvilket ord hører ikke hjemme i lista?:
['årtusen', 'kiliade', 'rå']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['årtusen', 'kiliade', 'rå']
Ordet som ikke hører hjemme er: Rå
Den vanligste måten å","Rå
Den",rå,False
"Hvilket ord hører ikke hjemme i lista?:
['ettergi', 'serai', 'skåne']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['ettergi', 'serai', 'skåne']
Ordet som ikke hører hjemme er: 'ettergi'
For","ettergi'
For",serai,False
"Hvilket ord hører ikke hjemme i lista?:
['kurs', 'gangbarhet', 'lagdeling']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['kurs', 'gangbarhet', 'lagdeling']
Ordet som ikke hører hjemme er:   ['kurs'",kurs,lagdeling,False
"Hvilket ord hører ikke hjemme i lista?:
['flyfille', 'motstandsdyktig', 'resistent']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['flyfille', 'motstandsdyktig', 'resistent']
Ordet som ikke hører hjemme er: resistent
Dette ordet får","resistent
Dette",flyfille,False
"Hvilket ord hører ikke hjemme i lista?:
['barnesykdom', 'paff', 'begynnervanske']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['barnesykdom', 'paff', 'begynnervanske']
Ordet som ikke hører hjemme er: begynnervanske",begynnervanske,paff,False
"Hvilket ord hører ikke hjemme i lista?:
['friste', 'henvende', 'prøve']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['friste', 'henvende', 'prøve']
Ordet som ikke hører hjemme er: 'friste'.
",friste,henvende,False
"Hvilket ord hører ikke hjemme i lista?:
['eiendommelig', 'swagger', 'frakk']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['eiendommelig', 'swagger', 'frakk']
Ordet som ikke hører hjemme er: swagger
Ei","swagger
Ei",eiendommelig,False
"Hvilket ord hører ikke hjemme i lista?:
['gode', 'beste', 'tilbakeliggende']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['gode', 'beste', 'tilbakeliggende']
Ordet som ikke hører hjemme er: 'tilbakeliggende",tilbakeliggende,tilbakeliggende,True
"Hvilket ord hører ikke hjemme i lista?:
['begravelse', 'akrofobi', 'bisettelse']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['begravelse', 'akrofobi', 'bisettelse']
Ordet som ikke hører hjemme er: begravelse
Det du må","begravelse
Det",akrofobi,False
"Hvilket ord hører ikke hjemme i lista?:
['banalitet', 'alminnelighet', 'ballade']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['banalitet', 'alminnelighet', 'ballade']
Ordet som ikke hører hjemme er: alminnelighet
[Kon","alminnelighet
[Kon",ballade,False
"Hvilket ord hører ikke hjemme i lista?:
['post', 'komplisert', 'grundig']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['post', 'komplisert', 'grundig']
Ordet som ikke hører hjemme er: post.
Send meg en","post.
Send",post,False
"Hvilket ord hører ikke hjemme i lista?:
['evne', 'finne', 'kapasitet']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['evne', 'finne', 'kapasitet']
Ordet som ikke hører hjemme er:  evne",evne,finne,False
"Hvilket ord hører ikke hjemme i lista?:
['skråplan', 'betale', 'bestride']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['skråplan', 'betale', 'bestride']
Ordet som ikke hører hjemme er: 'bestride'
S","bestride'
S",skråplan,False
"Hvilket ord hører ikke hjemme i lista?:
['forgjenger', 'formann', 'ublu']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['forgjenger', 'formann', 'ublu']
Ordet som ikke hører hjemme er: ublu.
Det viser","ublu.
Det",ublu,False
"Hvilket ord hører ikke hjemme i lista?:
['skrap', 'hvilested', 'brom']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['skrap', 'hvilested', 'brom']
Ordet som ikke hører hjemme er: []
← P","
←",hvilested,False
"Hvilket ord hører ikke hjemme i lista?:
['person', 'begrave', 'hauglegge']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['person', 'begrave', 'hauglegge']
Ordet som ikke hører hjemme er: person
Er du helt sikker","person
Er",person,False
"Hvilket ord hører ikke hjemme i lista?:
['kvinnelege', 'form', 'gynekolog']
Ordet som ikke hører hjemme er:","Hvilket ord hører ikke hjemme i lista?:
['kvinnelege', 'form', 'gynekolog']
Ordet som ikke hører hjemme er: 'lege'. Man bør",lege,form,False
