prompt,generated_text,predicted_token,accepted_predictions,correct_prediction,language
"Idiom:
Alderdommen er ikkje ungdommen","Idiom:
Alderdommen er ikkje ungdommen underlegen, men ung",underlegen,['lik'],False,nno
"Idiom:
Alle gode ting er","Idiom:
Alle gode ting er tre - for så kan",tre,['tre'],True,nno
"Idiom:
Alle har bra døtrer, men ingen får bra","Idiom:
Alle har bra døtrer, men ingen får bra barnebarn. - U",barnebarn,['sonekone'],False,nno
"Idiom:
Alle manns venn er alle manns","Idiom:
Alle manns venn er alle manns narr!
Ald","narr!
Ald",['narr'],False,nno
"Idiom:
Alle sko kan ikkje lagast over ein","Idiom:
Alle sko kan ikkje lagast over ein lest, og ein kan",lest,['lest'],True,nno
"Idiom:
Alle svin er svarte i","Idiom:
Alle svin er svarte i mørket.",mørket,['mørkret'],False,nno
"Idiom:
Alle vegar fører til","Idiom:
Alle vegar fører til Rom! Det same gjeld",Rom,['Rom'],True,nno
"Idiom:
Alle vil ape og ingen vil","Idiom:
Alle vil ape og ingen vil bli ape. Og vi",bli,['skape'],False,nno
"Idiom:
Alle vil leve lenge, men ingen vil bli","Idiom:
Alle vil leve lenge, men ingen vil bli gammel | ABC Nyheter
T",gammel,['gammal'],False,nno
"Idiom:
Alt lyt ha si","Idiom:
Alt lyt ha si tid.
Alt lyt ha","tid.
Alt",['tid'],False,nno
"Idiom:
Alt stygt trivst i","Idiom:
Alt stygt trivst i skymingi;",skymingi,['mørkret'],False,nno
"Idiom:
Altfor kvast er og til","Idiom:
Altfor kvast er og til alt for store. Til",alt,['last'],False,nno
"Idiom:
Altfor romhendt står att","Idiom:
Altfor romhendt står attum i stampe mot",um,['tomhendt'],False,nno
"Idiom:
Andre tider gjev andre","Idiom:
Andre tider gjev andre kår:",kår,['tankar'],False,nno
"Idiom:
Annan manns lyte er lett å","Idiom:
Annan manns lyte er lett å bera. (Meister",bera,['sjå'],False,nno
"Idiom:
Annan manns vilje er vond å","Idiom:
Annan manns vilje er vond å vende, men har som",vende,['vite'],False,nno
"Idiom:
Auget ser aldri seg","Idiom:
Auget ser aldri seg sjølv. Auget treng",sjølv,['sjølv'],True,nno
"Idiom:
Av skade vert ein klok, men ikkje","Idiom:
Av skade vert ein klok, men ikkje rik
Legende:
N","rik
Legende:
N",['rik'],False,nno
"Idiom:
Bak skya er himmelen alltid","Idiom:
Bak skya er himmelen alltid blå. Bak skyene",blå,['blå'],True,nno
"Idiom:
Barn gjer barns","Idiom:
Barn gjer barnsleg/barnsleg",leg/barnsleg,['verk'],False,nno
"Idiom:
Barn lærer snarare å tale enn å","Idiom:
Barn lærer snarare å tale enn å lese, snarare å",lese,['teie'],False,nno
"Idiom:
Barnet er far til","Idiom:
Barnet er far til mannen, mor til kon",mannen,['mannen'],True,nno
"Idiom:
Barnet har berre gråten å ta","Idiom:
Barnet har berre gråten å ta til når det ikkje har",til,['til'],True,nno
"Idiom:
Beste fruktene heng","Idiom:
Beste fruktene heng høgt på treet,",høgt,['høgast'],False,nno
"Idiom:
Betre med ein fugl i handa en med ti på","Idiom:
Betre med ein fugl i handa en med ti på taket.
Det er best å","taket.
Det",['taket'],False,nno
"Idiom:
Betre med eit ærleg nei enn med eit falskt","Idiom:
Betre med eit ærleg nei enn med eit falskt ja.",ja,['ja'],True,nno
"Idiom:
Betre seint enn","Idiom:
Betre seint enn aldri, som dei se",aldri,['aldri'],True,nno
"Idiom:
Betre ulært enn ille","Idiom:
Betre ulært enn ille lært.
Heller ein dag","lært.
Heller",['lært'],False,nno
"Idiom:
Blind høne finn og eit","Idiom:
Blind høne finn og eit kom. Men somle",kom,['korn'],False,nno
"Idiom:
Blod er aldri så tunt at det er tjukkare enn","Idiom:
Blod er aldri så tunt at det er tjukkare enn vatn.",vatn,['vatn'],True,nno
"Idiom:
Brent barn skyr","Idiom:
Brent barn skyr ilden = Om en",ilden,['elden'],False,nno
"Idiom:
Bønder trivst mellom bønder","Idiom:
Bønder trivst mellom bønder.
Trengst:","
Trengst",['best'],False,nno
"Idiom:
Dei gamle skal ein ære, dei unge skal ein","Idiom:
Dei gamle skal ein ære, dei unge skal ein lære.",lære,['lære'],True,nno
