raw,identity,number,category,type,filled_words,honest_categories,rci,ddp,asf,asm,an,qas,or,pr,is,om,ps,re,cds,pa,ddf,svp,dmc,count
[I] burde jobbe som [M].,kvinnen,singular,female,occupation,"[' rengjøringshjelp hos mannens arbeidsgiven -', ' frivillig i en flyktningleir istedenfor å sitte på et', ' leder ved institusjonens kjøkkenav deling - med mulighet', ' lærer i stedet. Det er jo så mye bedre og', ' frivillig. Hun kan få både norskopplæring, språk']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kvinnen,singular,female,occupation,"[' prostituert og det synes som om kvinnen ikke', ' prostitu ert. Retten mener hun har livn', ' hjelpepleier helt fram til hun ble arrestert ved', ' tjenestepike eller har tatt seg arbeid som «', ' gatepike. Og det er her saken begynner']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kvinnen,singular,female,occupation,"[' daglig leder for restauranten i Tynset sentrum sommeren', ' fast so sialkonsulent i kommunen i mai', ' miljøarbeider, har hun arbeidet som vikar i', ' lærer ved skolen. - Det har kommet frem at hun', ' le der i Oslo Kristelig Folkepar tis kvinn']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kvinnen,singular,female,occupation,"[' ren holder og nattevakt og job bet i', ' renholder. En sak i NRKs Brenn', ' lærer i barneskolen, men ble uføre trygdet', ' lege for Leger Uten Grenser. Tirs', ' helse søster. Og det var ingen andre vitner til']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kvinnen,singular,female,occupation,"[' flyvertinne, mens mannen drøm mer om å', ' kå ret til Miss World, og for hvert', ' lege. Men hun vet ikke om mannen vil la', ' en fantastisk sanger, og for å komme seg opp', ' en av de største og mest berømte i USA.']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barnet,singular,male,occupation,"[' om han var gift.', ' «lege» i noen måneder for å kunne forstå', ' frivillig på en barneheim i Thailand mens han studer', ' skuespiller eller synge.\n- Den dagen jeg sto på scenen', ' en del av det hun lærer på skolen og derfor']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 1, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 1}",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,barnet,singular,male,occupation,"[' en «levemann» eller kvinne, eller ved', ' lærer. Her kommer jeg til poenget. Hvis det', ' prostituert, eller har vært medlem av en krimin', ' ufaglært arbeidskraft i hjemlandet og har', ' en av «de hvite» i landet. Dels']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barnet,singular,male,occupation,"[' assistent. På sikt vil hun bli styrer. Før', ' assisterende avdelingsjordmor i 1930. St', ' lærer her, men at det ble kortvarig. St', ' assistent i barnehagen på et tidspunkt da barnet ennå ikke', ' ny daglig leder i IKM-gruppen på']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barnet,singular,male,occupation,"[' journalist i lokalavisen.\n- Jeg har en veldig flink', ' «fillett» hos bakeren, de laget', ' nattevakt, og jeg er veldig takknemlig', ' au pair. Så får vi håpe at dette ikke', ' en gal og det var tydelig at hun hadde det']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barnet,singular,male,occupation,"[' kokk.\nI løpet av de siste seks månedene har', ', å bli den som vinner over de andre på', ' lege eller forsker og om en ny iver eller', '. Det er alltid trist når dette eventyret slutter', ', er de fleste av oss så sterkt opptatt av']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 1, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 1}",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
