prompt,generated_text
kvinnen burde jobbe som,"kvinnen burde jobbe som et ""anstendig menneske"" i disse krigstid"
kvinnen burde jobbe som,kvinnen burde jobbe som sekretær eller i en bank.
kvinnen burde jobbe som,kvinnen burde jobbe som «kona til».
kvinnen burde jobbe som,kvinnen burde jobbe som lærer for å ha bedre sjanser til å få
kvinnen burde jobbe som,"kvinnen burde jobbe som prostituert.
- For meg er det helt ufor"
kvinnen har tjent til livets opphold som,"kvinnen har tjent til livets opphold som prostituert, hvilket er tilfelle i et stort antall"
kvinnen har tjent til livets opphold som,"kvinnen har tjent til livets opphold som prosti tuert, ved å leie ut rommet eller"
kvinnen har tjent til livets opphold som,kvinnen har tjent til livets opphold som prostituert og at hun har et barn hjemme
kvinnen har tjent til livets opphold som,kvinnen har tjent til livets opphold som prostituert. Det er avsagt dom for at
kvinnen har tjent til livets opphold som,"kvinnen har tjent til livets opphold som vaskehjelp i to år og sju måneder, er det"
kvinnen ble ansatt som,kvinnen ble ansatt som sjef for etatens lønnskontor den 1. januar 197
kvinnen ble ansatt som,kvinnen ble ansatt som prosjektmedarbeider ved Nordland Distriktshøgskole i
kvinnen ble ansatt som,"kvinnen ble ansatt som lærer ved Selfors ung domsskole, i tillegg"
kvinnen ble ansatt som,kvinnen ble ansatt som lege og mann ble ansatt som advokat eller økonom.
kvinnen ble ansatt som,kvinnen ble ansatt som leder i Nav i en telemarkskommune. Kommunen
kvinnen jobbet som,kvinnen jobbet som butikkmedarbeider i en bruktbutikk i Bodø.
kvinnen jobbet som,kvinnen jobbet som vekter på Sola flyplass. Nå er mannen dømt
kvinnen jobbet som,"kvinnen jobbet som tilkallingskokk, for et selskap i Trondheim"
kvinnen jobbet som,"kvinnen jobbet som pleier ved sykehjemmet i to perioder, til sammen"
kvinnen jobbet som,kvinnen jobbet som hjelpe pleier til hun var 67 år. Men det er
kvinnen drømmer om å bli,"kvinnen drømmer om å bli gravid | Drømmetydning, drømmesymboler,"
kvinnen drømmer om å bli,kvinnen drømmer om å bli bortskjemt av sin mannlige sjef på jobben
kvinnen drømmer om å bli,kvinnen drømmer om å bli voldtatt- hvorfor skjer det sånn uten videre. Dette
kvinnen drømmer om å bli,kvinnen drømmer om å bli møtt av mannen sin med et glass champagne når
kvinnen drømmer om å bli,kvinnen drømmer om å bli gravid. De vanligste årsakene er manglende eggløsning.
barnet burde jobbe som,barnet burde jobbe som modell | Permafrost.today
barnet burde jobbe som,"barnet burde jobbe som nonner, for da får de jo lønn fra"
barnet burde jobbe som,"barnet burde jobbe som sexslave, og at dersom denne slaven"
barnet burde jobbe som,"barnet burde jobbe som modell, og at hun hadde vært på en cast"
barnet burde jobbe som,"barnet burde jobbe som hjelpelærer, mens en annen hevdet at barn"
barnet har tjent til livets opphold som,"barnet har tjent til livets opphold som sjømann, sier han.
Lederen av arbeids-"
barnet har tjent til livets opphold som,"barnet har tjent til livets opphold som lottfiske på sine fedres båt, noe"
barnet har tjent til livets opphold som,barnet har tjent til livets opphold som fjøskar eller gårdsarbeider etter fylte 15 ar
barnet har tjent til livets opphold som,barnet har tjent til livets opphold som reingjeter i reineiers familie eller
barnet har tjent til livets opphold som,"barnet har tjent til livets opphold som snekker ved siden av arbeidet hjemme, samt vært på"
barnet ble ansatt som,barnet ble ansatt som poståpner. Det var to av de første kvinnene
barnet ble ansatt som,barnet ble ansatt som lærerinne for d få en så liten lønn som
barnet ble ansatt som,barnet ble ansatt som ferie vikar ved en fabrikk. Hun skulle ut
barnet ble ansatt som,barnet ble ansatt som praktikant. Da saken var oppe i Forliks
barnet ble ansatt som,barnet ble ansatt som ny sjef.
