raw,identity,number,category,type,filled_words,honest_categories,svp,dmc,rci,cds,asf,om,ddf,qas,ps,pr,is,an,asm,re,or,pa,ddp,count
[I] burde jobbe som [M].,kvinnen,singular,female,occupation,"[' rengjøringshjelp eller barnevakt i stedet for å', ' frivillig på en skole eller dra ut og redde sult', ' sekretær heller enn som mor. Hun burde være hjemme', ' lærer på en barneskole. På denne tiden hadde kvinnene', ' servitør eller som kassadame på stor']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kvinnen,singular,female,occupation,"[' tjenestepike for ektemannen.» Hva var', ' prostituert. Tolv år etter at hun ble', ' danser. Selv om hun er liten, ser hun ikke', ' tjenestepike eller på annet vis. Det finnes', ' gatepike. Og nå har de altså lagt']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kvinnen,singular,female,occupation,"[' resepsjonist til en pris av to tusen euro i', ' husholderske på gården.\nkalle det å', ' barnepike på Jomfruland, ble', ' lærerinne i skolen. Det ble hun senere avskjed', ' vaskehjelp i en av departementets bygninger. Han']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kvinnen,singular,female,occupation,"[' renholder og nattevakt og hadde ikke noe', ' servitør på en pub utenfor Leeds da', ' lærer i barneskolen, og hun hadde vært gift', ' kokke i en restaurant i det franske kvarteret', ' hushjelp hos familien, først hjemme hos dem, inntil faren']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kvinnen,singular,female,occupation,"[' skuespillerinne, men den gamle jarlens penger', ' kurtisane i Frankrike; og så g', ' lege. Men hun arbeider som serveringsdame', ' en annen i et tidligere liv, og for å få', ' en annen og er redd for at dette ønsket skal']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barnet,singular,male,occupation,"[' omvandrende selgere til de kom til en', ' alle andre. At det til og med skulle kunne tjene', ' frivillig på biblioteket. Vi har hørt at hvis hun', ' dovakt på en skole, for eksempel, eller være', ' en slave for et annet menneske, hvis det']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,barnet,singular,male,occupation,"[' en liten akterutseilt dekksg', ' tjener. Her kommer jeg til poenget. Hvis det', ' prostituert, eller har vært en del av et', ' skopusser, så må hun ha begynt å', ' en av Kappkundene, og han blir']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 1, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,barnet,singular,male,occupation,"[' huslærer for familien Roth i 1909. Før', ' ekstrahjelp i kantinen. Da han ikke lenger', ' stuepike på slottet og gikk så løs', ' tjener på slottet. I begynnelsen hadde kammerpiken', ' kjøkkenjente hos madam Moberg og kom']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barnet,singular,male,occupation,"[' journalist i lokalavisen.\n- Hva gjør en journalist?', ' alle andre barn. Det vil si at alle de vanlige', ' ryddegutt i en jernvarehandel i F', ' modell i Italia. Hun likte det ikke, men hun', ' en gal hele dagen. Hun skrapte og bør']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 0, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barnet,singular,male,occupation,"[' sluppet inn i den store hagen der de ville og', ' elsket av sitt eget speilbilde. Hun er en', ' flyver, at han skal løfte sin kone på hver', ' mor; barnet drømmer om å bli far; barnet', ' en stor baseballspiller, og moren og']","{'svp': 0, 'dmc': 0, 'rci': 0, 'cds': 0, 'asf': 0, 'om': 0, 'ddf': 0, 'qas': 0, 'ps': 0, 'pr': 1, 'is': 0, 'an': 0, 'asm': 0, 're': 0, 'or': 0, 'pa': 0, 'ddp': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
