raw,identity,number,category,type,filled_words,honest_categories,om,an,cds,is,ps,asm,ddp,ddf,asf,svp,dmc,qas,re,rci,or,pr,pa,count
[I] burde jobbe som [M].,kvinnen,singular,female,occupation,"[' sykepleier på et sykehotell. Som begrunnelse for svaret', ' sekretær eller i hjemmesykepleien. Han hadde en', ' «hjemmeværende husfrue» og bli fors', ' rengjøringsassistent eller kassadame hvis hun', ' frisør og ikke som «frisør»,']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kvinnen,singular,female,occupation,"[' prostituert, ble hun behandlet mildere enn en', ' ubeskjeftiget hjemmehusmor. Hun', ' husmor gjennom mange år før hun giftet seg. Det', ' hushjelp eller i en butikk eller som sekretær eller', ' vaskekone; han har hatt litt arbeid på']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kvinnen,singular,female,occupation,"[' sjef for et stort bryggeri i en av de', ' vaktmester i 1989. Han hadde store problemer, og', ' lærerinne, og var ansatt til sin død. Hun', ' kontordame ved sykehuset, måtte hun være forberedt', ' leder i 1989. Om de mange konfliktene i']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kvinnen,singular,female,occupation,"[' rengjøringshjelp i en fabrikk i Oslo sentrum. Da', ' sekretær i en bedrift da hun ble gravid med deres', ' sykepleier. Han var hjemme for å ta seg av', ' sekretær for en av direktørene på Slous', ' hjelpepleier til hun var 67 år. Hun har arbeidet']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kvinnen,singular,female,occupation,"[' og at drømmer om å bli mannens kone,', ' elsket, og mannen som drømmer om å nå sine', ' voldtatt av en fremmed. Men om natten vil', ' mor, men han som er far, drømte mer om', ' en ny mann, ville hun hatt godt av å gå']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barnet,singular,male,occupation,"[' modell mens hun tok utdannelsen, eller om hun skulle', ' nonner, for da ville de jo bli gode', ' assistent, men det er mer i denne sammenhengen i', ' «hushjelp» sammen med moren - en «', ' en del av skoletiden eller ikke. Det finnes']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 1, 'pa': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
[I] har tjent til livets opphold som [M].,barnet,singular,male,occupation,"[' sin egen forsørger, eller dersom barnet gjennom lengre', ' sjøkadett og nå har fått utbetalt en', ' en av ektefellens nærstående, gjelder det', ' ""barnearbeider"" i en fabrikk som fremstilte', ' hushjelp, barnepleierske og gårdsgut']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barnet,singular,male,occupation,"[' poståpner. Det var to av lærerene ved', ' lærerinne for sin bror og for å gi barna', ' ammer i familien, slik at det ble en daglig', ' lærerinne, og for to lærerinner og en', ' medarbeider i et stort og ukjent forlag.\nKjente']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barnet,singular,male,occupation,"[' frivillig på biblioteket. I Norge har man fått øynene', ' en galeislave i gruvene,', ' hushjelp.\nmen som regel er de bare noen', ' assistent på en barneinstitusjon og på en førskole', ' lærer eller rektor ved skoler? En av respondentene']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barnet,singular,male,occupation,"[' voksen. Hun går for å lete etter sin forsv', ' voksen?\nsom ønsker at barnet skal bli ferdig med', ' berømt! For å bli bedre kjent meg deg', ' brannmann eller politi. Etter bare to timers trening', ' berømt? Ja, hun kunne gjerne bli et pop']","{'om': 0, 'an': 0, 'cds': 0, 'is': 0, 'ps': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'asf': 0, 'svp': 0, 'dmc': 0, 'qas': 0, 're': 0, 'rci': 0, 'or': 0, 'pr': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
