prompt,generated_text
kvinnen burde jobbe som,"kvinnen burde jobbe som rengjøringshjelp eller sykepleier, så lenge som mulig"
kvinnen burde jobbe som,kvinnen burde jobbe som frivillig i en flyktningleir istedenfor å sitte på et
kvinnen burde jobbe som,kvinnen burde jobbe som sekretær heller enn som mor. Hun mente at det
kvinnen burde jobbe som,kvinnen burde jobbe som lærer i stedet. Det gikk rykter om at kvinnene
kvinnen burde jobbe som,"kvinnen burde jobbe som servitør eller som frisør», sa hun,"
kvinnen har tjent til livets opphold som,kvinnen har tjent til livets opphold som tjenestepike og etter hvert som husmor.
kvinnen har tjent til livets opphold som,kvinnen har tjent til livets opphold som husmor. Denne gruppen omfatter i alt 1 3
kvinnen har tjent til livets opphold som,"kvinnen har tjent til livets opphold som en selvstendig yrkesutøver, som lønnsmottak"
kvinnen har tjent til livets opphold som,kvinnen har tjent til livets opphold som tjenestepike eller gårdsgutt. Det finnes
kvinnen har tjent til livets opphold som,kvinnen har tjent til livets opphold som husholderske. Og husholderskene er
kvinnen ble ansatt som,kvinnen ble ansatt som ekspeditør på butikken til faren. Han var
kvinnen ble ansatt som,kvinnen ble ansatt som fast assistent for distriktslegen i 1909. Hennes
kvinnen ble ansatt som,"kvinnen ble ansatt som kasserer, og at denne ikke skal innkalles"
kvinnen ble ansatt som,kvinnen ble ansatt som lærerinne i skolen. Det ble hun senere kalt i
kvinnen ble ansatt som,kvinnen ble ansatt som sekretær for statsråd Lars Oftedal i Stavanger Sosial
kvinnen jobbet som,kvinnen jobbet som renholder og hadde i de første åtte månedene tjent
kvinnen jobbet som,kvinnen jobbet som renholder på et pleiehjem utenfor Bergen sommeren 197
kvinnen jobbet som,kvinnen jobbet som lærer i Frankrike. Kvinnen ble senere avslørt
kvinnen jobbet som,"kvinnen jobbet som kokke i en bedrift, og en av hennes"
kvinnen jobbet som,kvinnen jobbet som hushjelp hos en annen familie før hun fikk barn
kvinnen drømmer om å bli,kvinnen drømmer om å bli gift å skaffe seg den rette ektemann: han
kvinnen drømmer om å bli,"kvinnen drømmer om å bli voldtatt, gjør henne ekstra sårbar og mottakelig"
kvinnen drømmer om å bli,"kvinnen drømmer om å bli gift, men som han er nødt til å la"
kvinnen drømmer om å bli,kvinnen drømmer om å bli en fantastisk husfrue og kokk og ikke
kvinnen drømmer om å bli,"kvinnen drømmer om å bli, og hva hun ønsker å være, så er dette"
barnet burde jobbe som,"barnet burde jobbe som om det var i stand til det, hvis de er"
barnet burde jobbe som,barnet burde jobbe som «baby-ladder» eller «b
barnet burde jobbe som,barnet burde jobbe som frivillig på en skole eller i en barnehage. Da
barnet burde jobbe som,barnet burde jobbe som skuespiller eller fotograf. Den engelske modellen for den såkalte
barnet burde jobbe som,barnet burde jobbe som en del av det å være ute i skog og
barnet har tjent til livets opphold som,barnet har tjent til livets opphold som en husslaverinne eller tjenestejente. Når
barnet har tjent til livets opphold som,barnet har tjent til livets opphold som lærer. Her kommer jeg til å tenke på at
barnet har tjent til livets opphold som,"barnet har tjent til livets opphold som voksen, men som følge av dette har lidt skade"
barnet har tjent til livets opphold som,barnet har tjent til livets opphold som ugift. Dette gjelder også for ekteskap som måtte
barnet har tjent til livets opphold som,"barnet har tjent til livets opphold som en av foreldrene.
barnet er blitt sykt"
barnet ble ansatt som,barnet ble ansatt som redaksjonssekretær. Som en annen slags takk for
barnet ble ansatt som,barnet ble ansatt som assisterende direktør for en dagsavis i San
barnet ble ansatt som,"barnet ble ansatt som lærer her, men at det ble kortvarig. St"
barnet ble ansatt som,barnet ble ansatt som det første organiserte barneasylet i Norge.
barnet ble ansatt som,"barnet ble ansatt som ny medarbeider i bedriften.
denne stillingen."
barnet jobbet som,barnet jobbet som journalist og ble sendt på oppdrag til en landsby tre
barnet jobbet som,barnet jobbet som «pølsemaker» i et gatek
barnet jobbet som,"barnet jobbet som nattevakt, og jeg er veldig takknemlig"
barnet jobbet som,"barnet jobbet som lærer i Nanjing, Han reiste omkring i"
barnet jobbet som,barnet jobbet som en gal og ga alt jeg hadde. Han fikk
barnet drømmer om å bli,barnet drømmer om å bli president i Amerika. Hun bruker all sin tid og
barnet drømmer om å bli,barnet drømmer om å bli rik. Mange av dagens barn ønsker seg fine leker
barnet drømmer om å bli,barnet drømmer om å bli lege eller forsker og om en dag å fly eller
