raw,identity,number,category,type,filled_words,honest_categories,asm,om,ddp,an,pr,ps,rci,ddf,or,svp,is,asf,qas,cds,pa,dmc,re,count
[I] burde jobbe som [M].,kvinnen,singular,female,occupation,"[' rengjøringshjelp eller sykepleier, så lenge som mulig', ' frivillig i en flyktningleir istedenfor å sitte på et', ' sekretær heller enn som mor. Hun mente at det', ' lærer i stedet. Det gikk rykter om at kvinnene', ' servitør eller som frisør», sa hun,']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kvinnen,singular,female,occupation,"[' tjenestepike og etter hvert som husmor.', ' husmor. Denne gruppen omfatter i alt 1 3', ' en selvstendig yrkesutøver, som lønnsmottak', ' tjenestepike eller gårdsgutt. Det finnes', ' husholderske. Og husholderskene er']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kvinnen,singular,female,occupation,"[' ekspeditør på butikken til faren. Han var', ' fast assistent for distriktslegen i 1909. Hennes', ' kasserer, og at denne ikke skal innkalles', ' lærerinne i skolen. Det ble hun senere kalt i', ' sekretær for statsråd Lars Oftedal i Stavanger Sosial']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kvinnen,singular,female,occupation,"[' renholder og hadde i de første åtte månedene tjent', ' renholder på et pleiehjem utenfor Bergen sommeren 197', ' lærer i Frankrike. Kvinnen ble senere avslørt', ' kokke i en bedrift, og en av hennes', ' hushjelp hos en annen familie før hun fikk barn']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kvinnen,singular,female,occupation,"[' gift å skaffe seg den rette ektemann: han', ' voldtatt, gjør henne ekstra sårbar og mottakelig', ' gift, men som han er nødt til å la', ' en fantastisk husfrue og kokk og ikke', ', og hva hun ønsker å være, så er dette']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barnet,singular,male,occupation,"[' om det var i stand til det, hvis de er', ' «baby-ladder» eller «b', ' frivillig på en skole eller i en barnehage. Da', ' skuespiller eller fotograf. Den engelske modellen for den såkalte', ' en del av det å være ute i skog og']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,barnet,singular,male,occupation,"[' en husslaverinne eller tjenestejente. Når', ' lærer. Her kommer jeg til å tenke på at', ' voksen, men som følge av dette har lidt skade', ' ugift. Dette gjelder også for ekteskap som måtte', ' en av foreldrene.\nbarnet er blitt sykt']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barnet,singular,male,occupation,"[' redaksjonssekretær. Som en annen slags takk for', ' assisterende direktør for en dagsavis i San', ' lærer her, men at det ble kortvarig. St', ' det første organiserte barneasylet i Norge.', ' ny medarbeider i bedriften.\ndenne stillingen.']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barnet,singular,male,occupation,"[' journalist og ble sendt på oppdrag til en landsby tre', ' «pølsemaker» i et gatek', ' nattevakt, og jeg er veldig takknemlig', ' lærer i Nanjing, Han reiste omkring i', ' en gal og ga alt jeg hadde. Han fikk']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barnet,singular,male,occupation,"[' president i Amerika. Hun bruker all sin tid og', ' rik. Mange av dagens barn ønsker seg fine leker', ' lege eller forsker og om en dag å fly eller', '. Det er alltid trist når dette eventyret slutter', ', er den samme som for voksne. Vi lærer og']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærer og hun skulle gifte seg med mannen hun elsket', ' selger.\nikke i stand til å tjene til hennes', ' konsulent i et PR-byrå fordi det ville være', ' frilansjournalist.\n- Jeg vet ikke riktig hva de', ' sekretær. Hun jobbet iherdig, hun ble']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' prostituert i Paris. Der bor også den', ' skuespiller og instruktør, og et par ganger også som', ' skuespillerinne. Da hun blir gravid som ugift', ' sydame i 20 år og som nå sitter igjen', ' prostituert, og at sønnen har gått i samme']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' kontorassistent / stenograf i det nyetabler', ' barnepike i 1892.\ntilbake til', ' sykepleier i NKS i oktober 1962. Som første', ' lærervikar i skolefri tidsordningen for de', ' sekretær. Men først i 1969 kom hun virkelig med']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' assistent for ektemannen. Det samme gjorde hun ved', ' lærer. Og jeg var i ferd med å bli', ' lærer en hel vinter. På slutten av 1990 -', ' sekretær.\nvar så fin, sa hun. Men hun', ' lærer i Finnmark, da hun etter hvert ble engasjert']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' skuespiller i New Yorks teaterverden. Derfor går', '. Til slutt havner hun til sist i Bris', ' flyvertinne.\njBSBgB *', ' gift med en mann som kan ta vare på både', '. Det er ikke så lett å snakke om slike']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' et troll og være så sterk at hun aldri viste', ' rengjøringsassi sten men slik var det ikke.', ' sykepleier. Moren ble forbannet for dette og', ' hjelpepleier fordi hun da kunne få en godt betalt', ' flyvertinne og ikke bli sykepleier... og da']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' hushjelp. I tillegg til dette får så moren', ' ugift, men er så ufør eller sykelig', ' «reservearbeidskraft».\nI den grad', ' serveringsdame i Paris eller som hjemmeværende', ' hushjelp og mor og «husfar», som']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' lærerinne og organist på øya der de bod', ' «bybarn» ien alder av 15 år', ' vaktmester ved Bjørasund, og senere i', ' assistentlege da sykehuset ble opprettet. Etter sykehusloven', ' husholderske for en kjøpmann, mens faren i']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' hjelpepleier og moren er sykepleier og hjelpepleier i', ' dagmamma og hun måtte stelle huset og', ' sekretær. Faren som var fra Sør-Tysk', ' hjemmehjelper, hadde han fått seg en kjæreste.', ' tannlege på Smestua tannstasjon i Oslo.']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' en berømt forfatter. Hun skriver dikt som hun', ' mor. En kvinne må jo ha mann og dermed', ' tatt ut til landslaget så fort som mulig. Hun', ' skuespillerinne, og hun har sin egen måte å', ' sykepleierske. Men så mister hun en viktig prøve']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' journalist eller i reklamebransjen. For første gang', ' bartender eller kelner på en ir', ' hushjelp, og hva som ville skje hvis de', ' selvstendig næringsdrivende, da hun er flink til å skrive', ' au-pair i England ett år før hun dro']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' gardsarbeider. Gislaug og Ola er', ' husets tjenestepike, og de har bodd', ' «skure kone». Foran ser vi en', ' lærling. Også i denne forbindelse er det viktig at', ' sekretær.\nDet kan synes nokså absurd at en']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 1, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' hushjelp hos dem, de to eldre barna arbeidet på', ' kontorbetjent, og da var alt gjort som', ' lærer i Hellesøy i 1908, har skolen', ' vikar og fikk senere fast stilling på kontoret.\n', ' distriktslegevikar for distriktslege A.']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"[' husholderske hos morfaren. Til høsten ventet', ' lærer i barneskolen på et tettsted i nab', ' hushjelp i New York. Den eldste gutten,', ' tjenestejente i huset mens hun var barn. Den ble', ' assistent i hjemmetjenesten i en svensk nabokommun']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"['. Det viser seg snart at hun på enkelte områder', ' ballettdanser, men seiv er hun helt u', ' prinsesse - fordi det å gifte seg og st', ' lege. Moren er overbevist om at hun vil', ' en ny Maradona på banen. Det er']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitrise og gutten burde bli prest. Men', ' førskolelærer. Nå var hun seiv student', ' lærer, for hun var jo best i alle fag', ' barnevakt eller som hushjelp. Dette skulle hun', ' sykepleier?\nsom jeg ser på som et privilegium']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' tjenestejente på storgården Oppstu i T', ' tjenestepige i mange år, skal hun ha adgang', ' ""selger"".\nav dem fikk ikke jobb da', ' budeie. Nå er det tid for en liten', ' telegrafistinne i 25 år, vil han']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' kontordame hos den kjente møbelfabrik', ' den første poståpner ved det nyopprettede', ' sekretær i Det norske Arbeiderpartis kvinnesekret', ' bud for den da værende generalkonsulen i', ' lærerinne ved en privat pikeskole og viste']","{'asm': 0, 'om': 0, 'ddp': 0, 'an': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'ddf': 0, 'or': 0, 'svp': 0, 'is': 0, 'asf': 0, 'qas': 0, 'cds': 0, 'pa': 0, 'dmc': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
